mouse,month,treatment,hotspots,ln2volume
#974,1,UV,0,12.94015578
#282,1,UV,0,12.9414252
#282,1,UV,0,12.9414252
#131,1,UV,0,12.9426935
#006,1,UV,0,12.94396069
#009,1,UV,0,12.94522677
#022,1,UV,0,12.94522677
#281,1,UV,0,12.94522677
#282,1,UV,0,12.9477556
#289,1,UV,0,12.9477556
#022,1,UV,0,12.95028
#282,1,UV,0,12.95028
#282,1,UV,0,12.95028
#970,1,UV,0,12.95028
#317,1,UV,0,12.95154054
#303,1,UV,0,12.95279999
#970,1,UV,0,12.95531559
#970,1,UV,0,12.95531559
#022,1,UV,0,12.95657174
#003,1,UV,0,12.95782681
#131,1,UV,0,12.95782681
#303,1,UV,0,12.95782681
#003,1,UV,0,12.95908078
#003,1,UV,0,12.96033366
#263,1,UV,0,12.96033366
#009,1,UV,0,12.96158546
#131,1,UV,0,12.96158546
#131,1,UV,0,12.96158546
#282,1,UV,0,12.96158546
#974,1,UV,0,12.96158546
#970,1,UV,0,12.96658181
#003,1,UV,0,12.96907351
#317,1,UV,0,12.97404404
#282,1,UV,0,12.975284
#258,1,UV,0,12.9765229
#281,1,UV,0,12.9765229
#263,1,UV,0,12.97776073
#263,1,UV,0,12.97899751
#258,1,UV,0,12.98146788
#258,1,UV,0,12.98270148
#282,1,UV,0,12.98270148
#006,1,UV,0,12.98516552
#022,1,UV,0,12.98639596
#303,1,UV,0,12.9888537
#317,1,UV,0,12.9888537
#022,1,UV,0,12.99008101
#317,1,UV,0,12.99253249
#009,1,UV,0,12.99375666
#970,1,UV,0,12.99620191
#289,1,UV,0,12.99864302
#131,1,UV,0,13.00108001
#003,1,UV,0,13.00229696
#131,1,UV,0,13.00351288
#258,1,UV,0,13.00472778
#131,1,UV,0,13.00594166
#303,1,UV,0,13.00594166
#003,1,UV,0,13.00715452
#022,1,UV,0,13.00715452
#289,1,UV,0,13.00715452
#131,1,UV,0,13.00957718
#303,1,UV,0,13.00957718
#006,1,UV,0,13.01078699
#258,1,UV,0,13.01078699
#282,1,UV,0,13.01078699
#131,1,UV,0,13.01199578
#303,1,UV,0,13.01199578
#003,1,UV,0,13.01320356
#009,1,UV,0,13.01320356
#974,1,UV,0,13.01320356
#970,1,UV,0,13.0156161
#006,1,UV,0,13.01682085
#974,1,UV,0,13.0180246
#263,1,UV,0,13.01922735
#009,1,UV,0,13.02282959
#263,1,UV,0,13.02402834
#009,1,UV,0,13.0288134
#263,1,UV,0,13.0288134
#258,1,UV,0,13.03000719
#263,1,UV,0,13.03239181
#263,1,UV,0,13.03239181
#263,1,UV,0,13.03358264
#258,1,UV,0,13.0347725
#258,1,UV,0,13.03596137
#003,1,UV,0,13.03714926
#281,1,UV,0,13.03714926
#263,1,UV,0,13.04070708
#022,1,UV,0,13.04189107
#022,1,UV,0,13.04189107
#258,1,UV,0,13.04307409
#289,1,UV,0,13.04425615
#006,1,UV,0,13.04661735
#282,1,UV,0,13.04661735
#006,1,UV,0,13.0489747
#258,1,UV,0,13.0489747
#970,1,UV,0,13.0489747
#263,1,UV,0,13.05015193
#263,1,UV,0,13.05367786
#022,1,UV,0,13.05602371
#263,1,UV,0,13.05602371
#282,1,UV,0,13.05602371
#009,1,UV,0,13.0571952
#263,1,UV,0,13.06070399
#022,1,UV,0,13.06187169
#131,1,UV,0,13.06187169
#970,1,UV,0,13.06187169
#003,1,UV,0,13.06420426
#974,1,UV,0,13.06536913
#303,1,UV,0,13.06653307
#006,1,UV,0,13.06769606
#263,1,UV,0,13.06769606
#022,1,UV,0,13.06885812
#291,1,UV,0,13.06885812
#282,1,UV,0,13.07001924
#289,1,UV,0,13.07001924
#258,1,UV,0,13.07117943
#263,1,UV,0,13.07349701
#003,1,UV,0,13.07465441
#006,1,UV,0,13.07812104
#022,1,UV,0,13.07927474
#282,1,UV,0,13.07927474
#006,1,UV,0,13.08273029
#258,1,UV,0,13.08502941
#131,1,UV,0,13.08732487
#258,1,UV,0,13.08732487
#258,1,UV,0,13.08732487
#970,1,UV,0,13.08732487
#263,1,UV,0,13.08961668
#974,1,UV,0,13.08961668
#022,1,UV,0,13.09190486
#970,1,UV,0,13.09304759
#022,1,UV,0,13.09874769
#022,1,UV,0,13.09988502
#282,1,UV,0,13.09988502
#258,1,UV,0,13.10102144
#970,1,UV,0,13.10102144
#282,1,UV,0,13.10215698
#317,1,UV,0,13.10215698
#281,1,UV,0,13.11008078
#282,1,UV,0,13.11008078
#282,1,UV,0,13.11008078
#003,1,UV,0,13.11120921
#258,1,UV,0,13.11120921
#003,1,UV,0,13.11233676
#263,1,UV,0,13.11571412
#003,1,UV,0,13.11796131
#003,1,UV,0,13.11796131
#258,1,UV,0,13.11796131
#282,1,UV,0,13.11796131
#131,1,UV,0,13.11908359
#003,1,UV,0,13.12132554
#289,1,UV,0,13.12132554
#317,1,UV,0,13.12244521
#003,1,UV,0,13.12356401
#258,1,UV,0,13.12356401
#289,1,UV,0,13.12356401
#974,1,UV,0,13.12356401
