,mouse_id,month,treatment,clade_volume,ln2volume,density
93,#022,m3,No UV,8903.797088,13.120205,0.025984912
94,#289,m3,No UV,8917.633603,13.12244521,0.02626432
95,#291,m3,No UV,8924.55186,13.12356401,0.026543727
96,#291,m3,No UV,8938.388375,13.12579902,0.027102543
97,#317,m3,No UV,8938.388375,13.12579902,0.027102543
98,#291,m3,No UV,8952.224889,13.12803056,0.02738195
99,#009,m3,No UV,8966.061404,13.13025866,0.027661358
100,#131,m3,No UV,8979.897918,13.13248333,0.027940766
101,#303,m3,No UV,8986.816175,13.13359438,0.028220173
102,#131,m3,No UV,8993.734433,13.13470457,0.029337804
103,#291,m3,No UV,8993.734433,13.13470457,0.029337804
104,#303,m3,No UV,8993.734433,13.13470457,0.029337804
105,#303,m3,No UV,8993.734433,13.13470457,0.029337804
106,#289,m3,No UV,9000.65269,13.13581391,0.029617212
107,#281,m3,No UV,9014.489204,13.13803003,0.029896619
108,#006,m3,No UV,9021.407462,13.13913682,0.030176027
109,#263,m3,No UV,9028.325719,13.14024275,0.030455434
110,#131,m3,No UV,9035.243976,13.14134784,0.030734842
111,#009,m3,No UV,9042.162234,13.14245209,0.031293657
112,#291,m3,No UV,9042.162234,13.14245209,0.031293657
113,#009,m3,No UV,9062.917005,13.14575976,0.031573065
114,#291,m3,No UV,9076.75352,13.14796067,0.031852473
115,#003,m3,No UV,9097.508292,13.15125575,0.03213188
116,#263,m3,No UV,9104.426549,13.15235244,0.032411288
117,#009,m3,No UV,9111.344806,13.15344829,0.033249511
118,#022,m3,No UV,9111.344806,13.15344829,0.033249511
119,#022,m3,No UV,9111.344806,13.15344829,0.033249511
120,#009,m3,No UV,9118.263063,13.15454332,0.033528919
121,#970,m3,No UV,9132.099578,13.15673088,0.033808326
122,#006,m3,No UV,9139.017835,13.15782341,0.034087734
123,#289,m3,No UV,9145.936092,13.15891512,0.034367142
124,#291,m3,No UV,9166.690864,13.16218531,0.034646549
125,#317,m3,No UV,9173.609121,13.16327372,0.034925957
126,#009,m3,No UV,9180.527379,13.16436132,0.035484772
127,#291,m3,No UV,9180.527379,13.16436132,0.035484772
128,#291,m3,No UV,9201.28215,13.16761919,0.036043588
129,#291,m3,No UV,9201.28215,13.16761919,0.036043588
130,#003,m3,No UV,9208.200408,13.16870352,0.036322995
131,#317,m3,No UV,9215.118665,13.16978703,0.036881811
132,#317,m3,No UV,9215.118665,13.16978703,0.036881811
133,#282,m3,No UV,9222.036922,13.17086973,0.037161218
134,#289,m3,No UV,9235.873437,13.17303269,0.037440626
135,#006,m3,No UV,9249.709951,13.17519241,0.037720034
136,#974,m3,No UV,9256.628208,13.17627106,0.037999441
137,#291,m3,No UV,9263.546466,13.17734891,0.038558256
138,#317,m3,No UV,9263.546466,13.17734891,0.038558256
139,#009,m3,No UV,9270.464723,13.17842595,0.038837664
140,#974,m3,No UV,9277.38298,13.17950218,0.039117072
141,#317,m3,No UV,9284.301237,13.18057762,0.039675887
142,#974,m3,No UV,9284.301237,13.18057762,0.039675887
143,#317,m3,No UV,9291.219495,13.18165225,0.039955295
144,#022,m3,No UV,9305.056009,13.18379912,0.040234702
145,#970,m3,No UV,9318.892524,13.1859428,0.04051411
146,#009,m3,No UV,9332.729038,13.18808329,0.040793518
147,#303,m3,No UV,9339.647296,13.18915235,0.041072925
148,#009,m3,No UV,9353.48381,13.1912881,0.041352333
149,#303,m3,No UV,9367.320325,13.19342069,0.041631741
150,#303,m3,No UV,9401.911611,13.1987384,0.041911148
151,#974,m3,No UV,9429.58464,13.20297851,0.042190556
152,#003,m3,No UV,9443.421154,13.2050939,0.043028779
153,#006,m3,No UV,9443.421154,13.2050939,0.043028779
154,#009,m3,No UV,9443.421154,13.2050939,0.043028779
155,#006,m3,No UV,9457.257669,13.20720619,0.043308187
156,#006,m3,No UV,9464.175926,13.20826118,0.043587594
157,#289,m3,No UV,9505.68547,13.21457495,0.043867002
158,#131,m3,No UV,9519.521984,13.21667342,0.044705225
159,#303,m3,No UV,9519.521984,13.21667342,0.044705225
160,#974,m3,No UV,9519.521984,13.21667342,0.044705225
161,#289,m3,No UV,9533.358499,13.21876883,0.044984633
162,#317,m3,No UV,9540.276756,13.2198154,0.04526404
163,#317,m3,No UV,9547.195013,13.22086121,0.045543448
164,#009,m3,No UV,9561.031528,13.22295056,0.046102263
165,#022,m3,No UV,9561.031528,13.22295056,0.046102263
166,#006,m3,No UV,9567.949785,13.2239941,0.046381671
167,#970,m3,No UV,9581.786299,13.22607892,0.046661079
168,#970,m3,No UV,9588.704557,13.2271202,0.046940486
169,#263,m3,No UV,9595.622814,13.22816073,0.047499301
170,#303,m3,No UV,9595.622814,13.22816073,0.047499301
171,#003,m3,No UV,9630.2141,13.23335216,0.047778709
172,#263,m3,No UV,9644.050615,13.23542351,0.048058117
173,#003,m3,No UV,9650.968872,13.23645807,0.048337524
174,#289,m3,No UV,9657.887129,13.23749189,0.048616932
175,#131,m3,No UV,9671.723644,13.23955731,0.049175747
176,#282,m3,No UV,9671.723644,13.23955731,0.049175747
177,#022,m3,No UV,9678.641901,13.24058891,0.05001397
