"","mouse_id","month","treatment","clade_volume","ln2volume","density"
"1","#317","m2","No UV",8205.053106,13.00229696,0.000242365487154629
"2","#282","m2","No UV",8211.971363,13.00351288,0.000484730974309258
"3","#974","m2","No UV",8218.88962,13.00472778,0.000727096461463887
"4","#022","m2","No UV",8246.562649,13.00957718,0.000969461948618517
"5","#009","m2","No UV",8253.480906,13.01078699,0.00145419292292777
"6","#022","m2","No UV",8253.480906,13.01078699,0.00145419292292777
"7","#970","m2","No UV",8260.399164,13.01199578,0.0016965584100824
"8","#263","m2","No UV",8267.317421,13.01320356,0.00193892389723703
"9","#022","m2","No UV",8274.235678,13.01441034,0.00242365487154629
"10","#289","m2","No UV",8274.235678,13.01441034,0.00242365487154629
"11","#970","m2","No UV",8281.153935,13.0156161,0.00266602035870092
"12","#009","m2","No UV",8343.418251,13.02642285,0.00290838584585555
"13","#282","m2","No UV",8357.254765,13.0288134,0.00315075133301018
"14","#263","m2","No UV",8371.09128,13.03119999,0.00339311682016481
"15","#289","m2","No UV",8384.927794,13.03358264,0.00363548230731944
"16","#006","m2","No UV",8391.846051,13.0347725,0.00387784779447407
"17","#289","m2","No UV",8412.600823,13.03833617,0.00436257876878332
"18","#974","m2","No UV",8412.600823,13.03833617,0.00436257876878332
"19","#974","m2","No UV",8419.51908,13.03952211,0.00460494425593795
"20","#009","m2","No UV",8426.437338,13.04070708,0.00484730974309258
"21","#009","m2","No UV",8440.273852,13.04307409,0.00508967523024721
"22","#291","m2","No UV",8447.192109,13.04425615,0.0058167716917111
"23","#303","m2","No UV",8447.192109,13.04425615,0.0058167716917111
"24","#974","m2","No UV",8447.192109,13.04425615,0.0058167716917111
"25","#282","m2","No UV",8461.028624,13.04661735,0.00605913717886573
"26","#317","m2","No UV",8474.865139,13.0489747,0.00630150266602036
"27","#009","m2","No UV",8488.701653,13.0513282,0.00654386815317499
"28","#970","m2","No UV",8516.374682,13.05602371,0.00702859912748425
"29","#974","m2","No UV",8516.374682,13.05602371,0.00702859912748425
"30","#317","m2","No UV",8523.292939,13.0571952,0.00727096461463888
"31","#263","m2","No UV",8537.129454,13.05953534,0.0075133301017935
"32","#291","m2","No UV",8544.047711,13.06070399,0.00799806107610276
"33","#317","m2","No UV",8544.047711,13.06070399,0.00799806107610276
"34","#281","m2","No UV",8571.72074,13.06536913,0.00872515753756665
"35","#317","m2","No UV",8571.72074,13.06536913,0.00872515753756665
"36","#974","m2","No UV",8571.72074,13.06536913,0.00872515753756665
"37","#131","m2","No UV",8578.638997,13.06653307,0.00969461948618517
"38","#131","m2","No UV",8578.638997,13.06653307,0.00969461948618517
"39","#303","m2","No UV",8578.638997,13.06653307,0.00969461948618517
"40","#970","m2","No UV",8578.638997,13.06653307,0.00969461948618517
"41","#006","m2","No UV",8585.557255,13.06769606,0.0099369849733398
"42","#022","m2","No UV",8599.393769,13.07001924,0.0101793504604944
"43","#289","m2","No UV",8606.312026,13.07117943,0.0104217159476491
"44","#282","m2","No UV",8620.148541,13.07349701,0.0106640814348037
"45","#317","m2","No UV",8627.066798,13.07465441,0.0111488124091129
"46","#974","m2","No UV",8627.066798,13.07465441,0.0111488124091129
"47","#009","m2","No UV",8640.903313,13.07696642,0.0113911778962676
"48","#022","m2","No UV",8647.82157,13.07812104,0.0116335433834222
"49","#009","m2","No UV",8668.576342,13.08157936,0.0118759088705768
"50","#022","m2","No UV",8696.249371,13.0861776,0.0121182743577315
"51","#974","m2","No UV",8703.167628,13.08732487,0.0123606398448861
"52","#281","m2","No UV",8717.004142,13.08961668,0.0126030053320407
"53","#009","m2","No UV",8723.9224,13.09076122,0.0133301017935046
"54","#291","m2","No UV",8723.9224,13.09076122,0.0133301017935046
"55","#974","m2","No UV",8723.9224,13.09076122,0.0133301017935046
"56","#022","m2","No UV",8765.431943,13.09760947,0.0138148327678139
"57","#289","m2","No UV",8765.431943,13.09760947,0.0138148327678139
"58","#009","m2","No UV",8779.268458,13.09988502,0.0145419292292778
"59","#022","m2","No UV",8779.268458,13.09988502,0.0145419292292778
"60","#263","m2","No UV",8779.268458,13.09988502,0.0145419292292778
"61","#009","m2","No UV",8793.104972,13.10215698,0.015026660203587
"62","#131","m2","No UV",8793.104972,13.10215698,0.015026660203587
"63","#281","m2","No UV",8813.859744,13.10555822,0.0152690256907416
"64","#289","m2","No UV",8827.696259,13.10782128,0.0155113911778963
"65","#003","m2","No UV",8855.369288,13.11233676,0.0159961221522055
"66","#974","m2","No UV",8855.369288,13.11233676,0.0159961221522055
"67","#009","m2","No UV",8869.205802,13.11458921,0.0162384876393602
"68","#131","m2","No UV",8876.124059,13.11571412,0.0164808531265148
"69","#970","m2","No UV",8883.042317,13.11683815,0.0167232186136694
"70","#263","m2","No UV",8889.960574,13.11796131,0.016965584100824
"71","#970","m2","No UV",8896.878831,13.11908359,0.0172079495879787
"72","#291","m2","No UV",8917.633603,13.12244521,0.0174503150751333
"73","#289","m2","No UV",8924.55186,13.12356401,0.0176926805622879
"74","#289","m2","No UV",8931.470117,13.12468195,0.0179350460494426
"75","#263","m2","No UV",8938.388375,13.12579902,0.0184197770237518
"76","#291","m2","No UV",8938.388375,13.12579902,0.0184197770237518
"77","#022","m2","No UV",8952.224889,13.12803056,0.0186621425109064
"78","#009","m2","No UV",8966.061404,13.13025866,0.0189045079980611
"79","#009","m2","No UV",8986.816175,13.13359438,0.0191468734852157
"80","#006","m2","No UV",9014.489204,13.13803003,0.019631604459525
"81","#022","m2","No UV",9014.489204,13.13803003,0.019631604459525
"82","#289","m2","No UV",9021.407462,13.13913682,0.0198739699466796
"83","#006","m2","No UV",9028.325719,13.14024275,0.0203587009209889
"84","#282","m2","No UV",9028.325719,13.14024275,0.0203587009209889
"85","#291","m2","No UV",9035.243976,13.14134784,0.0206010664081435
"86","#131","m2","No UV",9042.162234,13.14245209,0.0208434318952981
"87","#303","m2","No UV",9069.835263,13.14686063,0.0210857973824527
"88","#317","m2","No UV",9076.75352,13.14796067,0.0213281628696074
"89","#970","m2","No UV",9083.671777,13.14905986,0.0218128938439166
"90","#970","m2","No UV",9083.671777,13.14905986,0.0218128938439166
"91","#009","m2","No UV",9097.508292,13.15125575,0.0220552593310713
"92","#009","m2","No UV",9111.344806,13.15344829,0.0230247212796898
"93","#009","m2","No UV",9111.344806,13.15344829,0.0230247212796898
"94","#263","m2","No UV",9111.344806,13.15344829,0.0230247212796898
"95","#282","m2","No UV",9111.344806,13.15344829,0.0230247212796898
"96","#281","m2","No UV",9118.263063,13.15454332,0.023509452253999
