mouse_id,month,treatment,clade_volume,ln2volume
#317,m2,No UV,8205.053106,13.00229696
#282,m2,No UV,8211.971363,13.00351288
#974,m2,No UV,8218.88962,13.00472778
#022,m2,No UV,8246.562649,13.00957718
#009,m2,No UV,8253.480906,13.01078699
#022,m2,No UV,8253.480906,13.01078699
#970,m2,No UV,8260.399164,13.01199578
#263,m2,No UV,8267.317421,13.01320356
#022,m2,No UV,8274.235678,13.01441034
#289,m2,No UV,8274.235678,13.01441034
#970,m2,No UV,8281.153935,13.0156161
#009,m2,No UV,8343.418251,13.02642285
#282,m2,No UV,8357.254765,13.0288134
#263,m2,No UV,8371.09128,13.03119999
#289,m2,No UV,8384.927794,13.03358264
#006,m2,No UV,8391.846051,13.0347725
#289,m2,No UV,8412.600823,13.03833617
#974,m2,No UV,8412.600823,13.03833617
#974,m2,No UV,8419.51908,13.03952211
#009,m2,No UV,8426.437338,13.04070708
#009,m2,No UV,8440.273852,13.04307409
#291,m2,No UV,8447.192109,13.04425615
#303,m2,No UV,8447.192109,13.04425615
#974,m2,No UV,8447.192109,13.04425615
#282,m2,No UV,8461.028624,13.04661735
#317,m2,No UV,8474.865139,13.0489747
#009,m2,No UV,8488.701653,13.0513282
#970,m2,No UV,8516.374682,13.05602371
#974,m2,No UV,8516.374682,13.05602371
#317,m2,No UV,8523.292939,13.0571952
#263,m2,No UV,8537.129454,13.05953534
#291,m2,No UV,8544.047711,13.06070399
#317,m2,No UV,8544.047711,13.06070399
#281,m2,No UV,8571.72074,13.06536913
#317,m2,No UV,8571.72074,13.06536913
#974,m2,No UV,8571.72074,13.06536913
#131,m2,No UV,8578.638997,13.06653307
#131,m2,No UV,8578.638997,13.06653307
#303,m2,No UV,8578.638997,13.06653307
#970,m2,No UV,8578.638997,13.06653307
#006,m2,No UV,8585.557255,13.06769606
#022,m2,No UV,8599.393769,13.07001924
#289,m2,No UV,8606.312026,13.07117943
#282,m2,No UV,8620.148541,13.07349701
#317,m2,No UV,8627.066798,13.07465441
#974,m2,No UV,8627.066798,13.07465441
#009,m2,No UV,8640.903313,13.07696642
#022,m2,No UV,8647.82157,13.07812104
#009,m2,No UV,8668.576342,13.08157936
#022,m2,No UV,8696.249371,13.0861776
#974,m2,No UV,8703.167628,13.08732487
#281,m2,No UV,8717.004142,13.08961668
#009,m2,No UV,8723.9224,13.09076122
#291,m2,No UV,8723.9224,13.09076122
#974,m2,No UV,8723.9224,13.09076122
#022,m2,No UV,8765.431943,13.09760947
#289,m2,No UV,8765.431943,13.09760947
#009,m2,No UV,8779.268458,13.09988502
#022,m2,No UV,8779.268458,13.09988502
#263,m2,No UV,8779.268458,13.09988502
#009,m2,No UV,8793.104972,13.10215698
#131,m2,No UV,8793.104972,13.10215698
#281,m2,No UV,8813.859744,13.10555822
#289,m2,No UV,8827.696259,13.10782128
#003,m2,No UV,8855.369288,13.11233676
#974,m2,No UV,8855.369288,13.11233676
#009,m2,No UV,8869.205802,13.11458921
#131,m2,No UV,8876.124059,13.11571412
#970,m2,No UV,8883.042317,13.11683815
#263,m2,No UV,8889.960574,13.11796131
#970,m2,No UV,8896.878831,13.11908359
#291,m2,No UV,8917.633603,13.12244521
#289,m2,No UV,8924.55186,13.12356401
#289,m2,No UV,8931.470117,13.12468195
#263,m2,No UV,8938.388375,13.12579902
#291,m2,No UV,8938.388375,13.12579902
#022,m2,No UV,8952.224889,13.12803056
#009,m2,No UV,8966.061404,13.13025866
#009,m2,No UV,8986.816175,13.13359438
#006,m2,No UV,9014.489204,13.13803003
#022,m2,No UV,9014.489204,13.13803003
#289,m2,No UV,9021.407462,13.13913682
#006,m2,No UV,9028.325719,13.14024275
#282,m2,No UV,9028.325719,13.14024275
#291,m2,No UV,9035.243976,13.14134784
#131,m2,No UV,9042.162234,13.14245209
#303,m2,No UV,9069.835263,13.14686063
#317,m2,No UV,9076.75352,13.14796067
#970,m2,No UV,9083.671777,13.14905986
#970,m2,No UV,9083.671777,13.14905986
#009,m2,No UV,9097.508292,13.15125575
#009,m2,No UV,9111.344806,13.15344829
#009,m2,No UV,9111.344806,13.15344829
#263,m2,No UV,9111.344806,13.15344829
#282,m2,No UV,9111.344806,13.15344829
#281,m2,No UV,9118.263063,13.15454332
#317,m2,No UV,9118.263063,13.15454332
#006,m2,No UV,9132.099578,13.15673088
#303,m2,No UV,9145.936092,13.15891512
#003,m2,No UV,9159.772607,13.16109607
#281,m2,No UV,9159.772607,13.16109607
#003,m2,No UV,9173.609121,13.16327372
#009,m2,No UV,9173.609121,13.16327372
#281,m2,No UV,9187.445636,13.16544809
#970,m2,No UV,9194.363893,13.16653405
#317,m2,No UV,9201.28215,13.16761919
#022,m2,No UV,9215.118665,13.16978703
#022,m2,No UV,9215.118665,13.16978703
#291,m2,No UV,9228.955179,13.17195161
#317,m2,No UV,9249.709951,13.17519241
#003,m2,No UV,9256.628208,13.17627106
#131,m2,No UV,9284.301237,13.18057762
#317,m2,No UV,9284.301237,13.18057762
#009,m2,No UV,9298.137752,13.18272608
#303,m2,No UV,9305.056009,13.18379912
#009,m2,No UV,9311.974266,13.18487136
#131,m2,No UV,9311.974266,13.18487136
#970,m2,No UV,9311.974266,13.18487136
#003,m2,No UV,9318.892524,13.1859428
#303,m2,No UV,9360.402067,13.19235479
#317,m2,No UV,9381.156839,13.19555012
#006,m2,No UV,9457.257669,13.20720619
#009,m2,No UV,9464.175926,13.20826118
#317,m2,No UV,9464.175926,13.20826118
#289,m2,No UV,9484.930698,13.21142152
#317,m2,No UV,9484.930698,13.21142152
#131,m2,No UV,9491.848955,13.21247343
#003,m2,No UV,9505.68547,13.21457495
#022,m2,No UV,9505.68547,13.21457495
#282,m2,No UV,9512.603727,13.21562456
#009,m2,No UV,9526.440241,13.21772151
#022,m2,No UV,9540.276756,13.2198154
#289,m2,No UV,9554.11327,13.22190627
#263,m2,No UV,9561.031528,13.22295056
#022,m2,No UV,9574.868042,13.22503689
#317,m2,No UV,9581.786299,13.22607892
#003,m2,No UV,9602.541071,13.22920051
#131,m2,No UV,9609.459328,13.23023955
#263,m2,No UV,9609.459328,13.23023955
#291,m2,No UV,9644.050615,13.23542351
#970,m2,No UV,9644.050615,13.23542351
#003,m2,No UV,9650.968872,13.23645807
#003,m2,No UV,9650.968872,13.23645807
#003,m2,No UV,9678.641901,13.24058891
#006,m2,No UV,9678.641901,13.24058891
#009,m2,No UV,9685.560158,13.24161977
#289,m2,No UV,9706.31493,13.24470796
#009,m2,No UV,9713.233187,13.24573588
