mouse_id,month,treatment,clade_volume,ln2volume
#289,m1,UV,9429.58464,13.20297851
#303,m1,UV,9436.502897,13.20403659
#003,m1,UV,9443.421154,13.2050939
#131,m1,UV,9443.421154,13.2050939
#003,m1,UV,9450.339412,13.20615043
#303,m1,UV,9450.339412,13.20615043
#974,m1,UV,9484.930698,13.21142152
#282,m1,UV,9519.521984,13.21667342
#317,m1,UV,9533.358499,13.21876883
#303,m1,UV,9540.276756,13.2198154
#006,m1,UV,9547.195013,13.22086121
#009,m1,UV,9547.195013,13.22086121
#131,m1,UV,9567.949785,13.2239941
#022,m1,UV,9595.622814,13.22816073
#263,m1,UV,9602.541071,13.22920051
#282,m1,UV,9623.295843,13.23231537
#289,m1,UV,9630.2141,13.23335216
#006,m1,UV,9637.132358,13.2343882
#974,m1,UV,9650.968872,13.23645807
#006,m1,UV,9657.887129,13.23749189
#263,m1,UV,9657.887129,13.23749189
#009,m1,UV,9685.560158,13.24161977
#009,m1,UV,9692.478416,13.2426499
#974,m1,UV,9706.31493,13.24470796
#291,m1,UV,9713.233187,13.24573588
#291,m1,UV,9720.151445,13.24676308
#022,m1,UV,9727.069702,13.24778954
#263,m1,UV,9747.824474,13.25086456
#970,m1,UV,9747.824474,13.25086456
#289,m1,UV,9754.742731,13.25188811
#006,m1,UV,9761.660988,13.25291093
#263,m1,UV,9768.579245,13.25393303
#281,m1,UV,9775.497503,13.25495441
#970,m1,UV,9775.497503,13.25495441
#970,m1,UV,9782.41576,13.25597507
#022,m1,UV,9789.334017,13.256995
#281,m1,UV,9796.252274,13.25801421
#009,m1,UV,9817.007046,13.26106754
#970,m1,UV,9830.843561,13.2630995
#291,m1,UV,9837.761818,13.26411441
#003,m1,UV,9893.107876,13.27220809
#289,m1,UV,9893.107876,13.27220809
#970,m1,UV,9900.026133,13.27321662
#131,m1,UV,9906.944391,13.27422444
#974,m1,UV,9920.780905,13.27623797
#022,m1,UV,9927.699162,13.27724368
#974,m1,UV,9927.699162,13.27724368
#970,m1,UV,9934.61742,13.2782487
#006,m1,UV,9941.535677,13.27925301
#003,m1,UV,9948.453934,13.28025662
#022,m1,UV,9962.290449,13.28226176
#131,m1,UV,9962.290449,13.28226176
#281,m1,UV,9969.208706,13.28326328
#282,m1,UV,9969.208706,13.28326328
#970,m1,UV,9969.208706,13.28326328
#022,m1,UV,9976.126963,13.28426411
#263,m1,UV,9976.126963,13.28426411
#974,m1,UV,9983.04522,13.28526425
#003,m1,UV,10010.71825,13.28925787
#970,m1,UV,10024.55476,13.29125054
#131,m1,UV,10038.39128,13.29324047
#303,m1,UV,10045.30954,13.2942344
#974,m1,UV,10052.22779,13.29522765
#006,m1,UV,10059.14605,13.29622022
#281,m1,UV,10066.06431,13.2972121
#131,m1,UV,10072.98257,13.2982033
#282,m1,UV,10072.98257,13.2982033
#003,m1,UV,10100.65559,13.30216132
#970,m1,UV,10107.57385,13.30314912
#003,m1,UV,10114.49211,13.30413626
#281,m1,UV,10121.41037,13.30512272
#974,m1,UV,10121.41037,13.30512272
#022,m1,UV,10135.24688,13.30709361
#263,m1,UV,10142.16514,13.30807805
#282,m1,UV,10142.16514,13.30807805
#303,m1,UV,10156.00165,13.31004491
#282,m1,UV,10162.91991,13.31102734
#003,m1,UV,10190.59294,13.31495038
#289,m1,UV,10204.42945,13.3169079
#131,m1,UV,10218.26597,13.31886277
#282,m1,UV,10218.26597,13.31886277
#263,m1,UV,10232.10248,13.320815
#009,m1,UV,10239.02074,13.32179012
#263,m1,UV,10245.939,13.32276459
#282,m1,UV,10245.939,13.32276459
#006,m1,UV,10252.85725,13.32373839
#970,m1,UV,10252.85725,13.32373839
#009,m1,UV,10273.61203,13.32665588
#009,m1,UV,10280.53028,13.32762706
#303,m1,UV,10294.3668,13.32956747
#022,m1,UV,10301.28505,13.3305367
#289,m1,UV,10315.12157,13.3324732
#317,m1,UV,10335.87634,13.33537309
#009,m1,UV,10342.7946,13.33633843
#974,m1,UV,10342.7946,13.33633843
#022,m1,UV,10349.71286,13.33730312
#006,m1,UV,10356.63111,13.33826717
#289,m1,UV,10370.46763,13.34019333
#281,m1,UV,10377.38588,13.34115545
#282,m1,UV,10377.38588,13.34115545
#970,m1,UV,10377.38588,13.34115545
#974,m1,UV,10398.14066,13.34403796
#289,m1,UV,10418.89543,13.34691472
#006,m1,UV,10425.81369,13.34787236
#006,m1,UV,10432.73194,13.34882937
#282,m1,UV,10446.56846,13.3507415
#974,m1,UV,10453.48671,13.35169661
#006,m1,UV,10467.32323,13.35360493
#009,m1,UV,10481.15974,13.35551074
#303,m1,UV,10481.15974,13.35551074
#022,m1,UV,10522.66929,13.3612131
#970,m1,UV,10522.66929,13.3612131
#131,m1,UV,10557.26057,13.36594791
#303,m1,UV,10557.26057,13.36594791
