"","mouse_id","month","treatment","clade_volume","ln2volume","density"
"1","#006","m2","UV",8225.807877,13.00594166,0.000269541778975741
"2","#003","m2","UV",8232.726135,13.00715452,0.000539083557951483
"3","#263","m2","UV",8260.399164,13.01199578,0.000808625336927224
"4","#263","m2","UV",8274.235678,13.01441034,0.00161725067385445
"5","#289","m2","UV",8274.235678,13.01441034,0.00161725067385445
"6","#970","m2","UV",8274.235678,13.01441034,0.00161725067385445
"7","#009","m2","UV",8301.908707,13.01922735,0.00188679245283019
"8","#006","m2","UV",8308.826964,13.0204291,0.00242587601078167
"9","#009","m2","UV",8308.826964,13.0204291,0.00242587601078167
"10","#263","m2","UV",8315.745222,13.02162984,0.00269541778975741
"11","#263","m2","UV",8322.663479,13.02282959,0.00296495956873315
"12","#131","m2","UV",8329.581736,13.02402834,0.00323450134770889
"13","#974","m2","UV",8336.499993,13.02522609,0.00350404312668464
"14","#291","m2","UV",8343.418251,13.02642285,0.00377358490566038
"15","#009","m2","UV",8364.173022,13.03000719,0.00404312668463612
"16","#974","m2","UV",8378.009537,13.03239181,0.00431266846361186
"17","#289","m2","UV",8384.927794,13.03358264,0.0045822102425876
"18","#003","m2","UV",8391.846051,13.0347725,0.00512129380053908
"19","#291","m2","UV",8391.846051,13.0347725,0.00512129380053908
"20","#282","m2","UV",8398.764309,13.03596137,0.00539083557951483
"21","#003","m2","UV",8447.192109,13.04425615,0.00566037735849057
"22","#281","m2","UV",8474.865139,13.0489747,0.00619946091644205
"23","#289","m2","UV",8474.865139,13.0489747,0.00619946091644205
"24","#006","m2","UV",8481.783396,13.05015193,0.00646900269541779
"25","#974","m2","UV",8509.456425,13.05485126,0.00673854447439353
"26","#263","m2","UV",8544.047711,13.06070399,0.00727762803234501
"27","#303","m2","UV",8544.047711,13.06070399,0.00727762803234501
"28","#131","m2","UV",8571.72074,13.06536913,0.0078167115902965
"29","#974","m2","UV",8571.72074,13.06536913,0.0078167115902965
"30","#006","m2","UV",8578.638997,13.06653307,0.00835579514824798
"31","#970","m2","UV",8578.638997,13.06653307,0.00835579514824798
"32","#009","m2","UV",8585.557255,13.06769606,0.0091644204851752
"33","#282","m2","UV",8585.557255,13.06769606,0.0091644204851752
"34","#974","m2","UV",8585.557255,13.06769606,0.0091644204851752
"35","#974","m2","UV",8592.475512,13.06885812,0.00943396226415094
"36","#131","m2","UV",8620.148541,13.07349701,0.00970350404312668
"37","#003","m2","UV",8627.066798,13.07465441,0.0102425876010782
"38","#282","m2","UV",8627.066798,13.07465441,0.0102425876010782
