mouse_id,month,treatment,clade_volume,ln2volume
#003,m1,No UV,8198.134848,13.00108001
#009,m1,No UV,8198.134848,13.00108001
#970,m1,No UV,8198.134848,13.00108001
#970,m1,No UV,8198.134848,13.00108001
#263,m1,No UV,8211.971363,13.00351288
#974,m1,No UV,8211.971363,13.00351288
#970,m1,No UV,8218.88962,13.00472778
#974,m1,No UV,8225.807877,13.00594166
#022,m1,No UV,8239.644392,13.00836636
#282,m1,No UV,8239.644392,13.00836636
#003,m1,No UV,8246.562649,13.00957718
#303,m1,No UV,8246.562649,13.00957718
#006,m1,No UV,8267.317421,13.01320356
#263,m1,No UV,8267.317421,13.01320356
#281,m1,No UV,8274.235678,13.01441034
#317,m1,No UV,8274.235678,13.01441034
#003,m1,No UV,8281.153935,13.0156161
#009,m1,No UV,8288.072193,13.01682085
#009,m1,No UV,8288.072193,13.01682085
#009,m1,No UV,8294.99045,13.0180246
#131,m1,No UV,8301.908707,13.01922735
#263,m1,No UV,8301.908707,13.01922735
#303,m1,No UV,8301.908707,13.01922735
#003,m1,No UV,8308.826964,13.0204291
#282,m1,No UV,8315.745222,13.02162984
#289,m1,No UV,8315.745222,13.02162984
#317,m1,No UV,8315.745222,13.02162984
#022,m1,No UV,8322.663479,13.02282959
#263,m1,No UV,8329.581736,13.02402834
#006,m1,No UV,8336.499993,13.02522609
#003,m1,No UV,8343.418251,13.02642285
#281,m1,No UV,8343.418251,13.02642285
#303,m1,No UV,8357.254765,13.0288134
#970,m1,No UV,8357.254765,13.0288134
#003,m1,No UV,8364.173022,13.03000719
#282,m1,No UV,8364.173022,13.03000719
#970,m1,No UV,8364.173022,13.03000719
#003,m1,No UV,8371.09128,13.03119999
#022,m1,No UV,8371.09128,13.03119999
#263,m1,No UV,8371.09128,13.03119999
#006,m1,No UV,8384.927794,13.03358264
#317,m1,No UV,8384.927794,13.03358264
#317,m1,No UV,8384.927794,13.03358264
#282,m1,No UV,8391.846051,13.0347725
#974,m1,No UV,8405.682566,13.03714926
#970,m1,No UV,8412.600823,13.03833617
#006,m1,No UV,8419.51908,13.03952211
#022,m1,No UV,8419.51908,13.03952211
#974,m1,No UV,8419.51908,13.03952211
#303,m1,No UV,8426.437338,13.04070708
#303,m1,No UV,8433.355595,13.04189107
#006,m1,No UV,8440.273852,13.04307409
#291,m1,No UV,8440.273852,13.04307409
#006,m1,No UV,8454.110367,13.04543723
#317,m1,No UV,8461.028624,13.04661735
#003,m1,No UV,8474.865139,13.0489747
#282,m1,No UV,8481.783396,13.05015193
#303,m1,No UV,8481.783396,13.05015193
#317,m1,No UV,8495.61991,13.05250351
#003,m1,No UV,8502.538168,13.05367786
#009,m1,No UV,8502.538168,13.05367786
#974,m1,No UV,8502.538168,13.05367786
#291,m1,No UV,8516.374682,13.05602371
#131,m1,No UV,8537.129454,13.05953534
#022,m1,No UV,8544.047711,13.06070399
#974,m1,No UV,8550.965968,13.06187169
#970,m1,No UV,8571.72074,13.06536913
#003,m1,No UV,8578.638997,13.06653307
#006,m1,No UV,8585.557255,13.06769606
#009,m1,No UV,8592.475512,13.06885812
#009,m1,No UV,8592.475512,13.06885812
#006,m1,No UV,8599.393769,13.07001924
#289,m1,No UV,8599.393769,13.07001924
#974,m1,No UV,8599.393769,13.07001924
#022,m1,No UV,8606.312026,13.07117943
#009,m1,No UV,8613.230284,13.07233869
#317,m1,No UV,8613.230284,13.07233869
#970,m1,No UV,8613.230284,13.07233869
#974,m1,No UV,8620.148541,13.07349701
#289,m1,No UV,8627.066798,13.07465441
#974,m1,No UV,8627.066798,13.07465441
#291,m1,No UV,8647.82157,13.07812104
#263,m1,No UV,8654.739827,13.07927474
#263,m1,No UV,8661.658084,13.08042751
#291,m1,No UV,8661.658084,13.08042751
#263,m1,No UV,8668.576342,13.08157936
#970,m1,No UV,8682.412856,13.08388031
#003,m1,No UV,8689.331113,13.08502941
#006,m1,No UV,8689.331113,13.08502941
#291,m1,No UV,8689.331113,13.08502941
#974,m1,No UV,8689.331113,13.08502941
