mouse_id,month,treatment,clade_volume,ln2volume
#970,m3,No UV,9318.892524,13.1859428
#009,m3,No UV,9332.729038,13.18808329
#303,m3,No UV,9339.647296,13.18915235
#009,m3,No UV,9353.48381,13.1912881
#303,m3,No UV,9367.320325,13.19342069
#303,m3,No UV,9401.911611,13.1987384
#974,m3,No UV,9429.58464,13.20297851
#003,m3,No UV,9443.421154,13.2050939
#006,m3,No UV,9443.421154,13.2050939
#009,m3,No UV,9443.421154,13.2050939
#006,m3,No UV,9457.257669,13.20720619
#006,m3,No UV,9464.175926,13.20826118
#289,m3,No UV,9505.68547,13.21457495
#131,m3,No UV,9519.521984,13.21667342
#303,m3,No UV,9519.521984,13.21667342
#974,m3,No UV,9519.521984,13.21667342
#289,m3,No UV,9533.358499,13.21876883
#317,m3,No UV,9540.276756,13.2198154
#317,m3,No UV,9547.195013,13.22086121
#009,m3,No UV,9561.031528,13.22295056
#022,m3,No UV,9561.031528,13.22295056
#006,m3,No UV,9567.949785,13.2239941
#970,m3,No UV,9581.786299,13.22607892
#970,m3,No UV,9588.704557,13.2271202
#263,m3,No UV,9595.622814,13.22816073
#303,m3,No UV,9595.622814,13.22816073
#003,m3,No UV,9630.2141,13.23335216
#263,m3,No UV,9644.050615,13.23542351
#003,m3,No UV,9650.968872,13.23645807
#289,m3,No UV,9657.887129,13.23749189
#131,m3,No UV,9671.723644,13.23955731
#282,m3,No UV,9671.723644,13.23955731
#022,m3,No UV,9678.641901,13.24058891
#291,m3,No UV,9678.641901,13.24058891
#291,m3,No UV,9678.641901,13.24058891
#303,m3,No UV,9699.396673,13.2436793
#131,m3,No UV,9713.233187,13.24573588
#970,m3,No UV,9733.987959,13.24881527
#970,m3,No UV,9747.824474,13.25086456
#974,m3,No UV,9747.824474,13.25086456
#291,m3,No UV,9761.660988,13.25291093
#303,m3,No UV,9761.660988,13.25291093
#003,m3,No UV,9782.41576,13.25597507
#291,m3,No UV,9782.41576,13.25597507
#009,m3,No UV,9789.334017,13.256995
#006,m3,No UV,9803.170532,13.2590327
#131,m3,No UV,9803.170532,13.2590327
#263,m3,No UV,9810.088789,13.26005048
#303,m3,No UV,9837.761818,13.26411441
#970,m3,No UV,9837.761818,13.26411441
#006,m3,No UV,9844.680075,13.26512861
#289,m3,No UV,9865.434847,13.26816693
#006,m3,No UV,9906.944391,13.27422444
#131,m3,No UV,9913.862648,13.27523156
#022,m3,No UV,9934.61742,13.2782487
#022,m3,No UV,9941.535677,13.27925301
#303,m3,No UV,9941.535677,13.27925301
#974,m3,No UV,9941.535677,13.27925301
#006,m3,No UV,9955.372191,13.28125954
#263,m3,No UV,9955.372191,13.28125954
#291,m3,No UV,9962.290449,13.28226176
#009,m3,No UV,9969.208706,13.28326328
#263,m3,No UV,9976.126963,13.28426411
#303,m3,No UV,9983.04522,13.28526425
#970,m3,No UV,10024.55476,13.29125054
#289,m3,No UV,10045.30954,13.2942344
#291,m3,No UV,10079.90082,13.29919382
#970,m3,No UV,10079.90082,13.29919382
#303,m3,No UV,10149.08339,13.30906182
#303,m3,No UV,10149.08339,13.30906182
#022,m3,No UV,10162.91991,13.31102734
#970,m3,No UV,10183.67468,13.31397062
#974,m3,No UV,10211.34771,13.31788567
#009,m3,No UV,10218.26597,13.31886277
#291,m3,No UV,10239.02074,13.32179012
#974,m3,No UV,10259.77551,13.32471154
#006,m3,No UV,10266.69377,13.32568404
#022,m3,No UV,10287.44854,13.32859759
#974,m3,No UV,10301.28505,13.3305367
#317,m3,No UV,10308.20331,13.33150528
#317,m3,No UV,10370.46763,13.34019333
#006,m3,No UV,10391.2224,13.34307776
#289,m3,No UV,10398.14066,13.34403796
#317,m3,No UV,10405.05891,13.34499751
#006,m3,No UV,10418.89543,13.34691472
#003,m3,No UV,10432.73194,13.34882937
#317,m3,No UV,10439.6502,13.34978575
#003,m3,No UV,10446.56846,13.3507415
#291,m3,No UV,10446.56846,13.3507415
#003,m3,No UV,10474.24149,13.35455815
#009,m3,No UV,10474.24149,13.35455815
#131,m3,No UV,10481.15974,13.35551074
#281,m3,No UV,10494.99626,13.35741403
#291,m3,No UV,10494.99626,13.35741403
#009,m3,No UV,10515.75103,13.36026427
#131,m3,No UV,10522.66929,13.3612131
#131,m3,No UV,10543.42406,13.36405585
#282,m3,No UV,10578.01534,13.36878135
#281,m3,No UV,10591.85186,13.37066723
#303,m3,No UV,10591.85186,13.37066723
#003,m3,No UV,10633.3614,13.37631011
#291,m3,No UV,10633.3614,13.37631011
#022,m3,No UV,10640.27966,13.37724845
#291,m3,No UV,10674.87095,13.38193101
#006,m3,No UV,10688.70746,13.38379978
#006,m3,No UV,10709.46223,13.38659842
#022,m3,No UV,10709.46223,13.38659842
#022,m3,No UV,10716.38049,13.38753009
#291,m3,No UV,10716.38049,13.38753009
#317,m3,No UV,10716.38049,13.38753009
#022,m3,No UV,10723.29875,13.38846116
#022,m3,No UV,10757.89003,13.39310753
#009,m3,No UV,10799.39958,13.39866348
#003,m3,No UV,10813.23609,13.40051072
#131,m3,No UV,10833.99086,13.40327716
#291,m3,No UV,10833.99086,13.40327716
#022,m3,No UV,10854.74564,13.4060383
#131,m3,No UV,10868.58215,13.40787613
#289,m3,No UV,10875.50041,13.40879416
#131,m3,No UV,10882.41866,13.40971162
#022,m3,No UV,10896.25518,13.41154477
#291,m3,No UV,10903.17344,13.41246048
#317,m3,No UV,10903.17344,13.41246048
#003,m3,No UV,10944.68298,13.41794255
#303,m3,No UV,10944.68298,13.41794255
#022,m3,No UV,10951.60124,13.4188542
#317,m3,No UV,10972.35601,13.42158572
#006,m3,No UV,11000.02904,13.42521971
#022,m3,No UV,11013.86555,13.42703328
#317,m3,No UV,11013.86555,13.42703328
#022,m3,No UV,11055.3751,13.43246035
#291,m3,No UV,11062.29335,13.43336288
#006,m3,No UV,11083.04812,13.43606709
#263,m3,No UV,11110.72115,13.43966484
#022,m3,No UV,11117.63941,13.44056288
#974,m3,No UV,11152.2307,13.44504469
#974,m3,No UV,11152.2307,13.44504469
#282,m3,No UV,11166.06721,13.44683352
#303,m3,No UV,11186.82198,13.44951262
#317,m3,No UV,11200.6585,13.45129593
#009,m3,No UV,11207.57676,13.45218676
#131,m3,No UV,11235.24978,13.45574458
#317,m3,No UV,11242.16804,13.45663266
#009,m3,No UV,11249.0863,13.4575202
#003,m3,No UV,11256.00456,13.4584072
#131,m3,No UV,11256.00456,13.4584072
#291,m3,No UV,11311.35061,13.46548358
#970,m3,No UV,11318.26887,13.46636569
#291,m3,No UV,11345.9419,13.46988876
#289,m3,No UV,11359.77841,13.47164707
#303,m3,No UV,11359.77841,13.47164707
#289,m3,No UV,11366.69667,13.47252543
#970,m3,No UV,11366.69667,13.47252543
#289,m3,No UV,11380.53319,13.47428053
#003,m3,No UV,11387.45144,13.47515728
#009,m3,No UV,11387.45144,13.47515728
#291,m3,No UV,11394.3697,13.4760335
#291,m3,No UV,11408.20622,13.47778434
#970,m3,No UV,11408.20622,13.47778434
#291,m3,No UV,11422.04273,13.47953307
#317,m3,No UV,11442.7975,13.48215218
#131,m3,No UV,11463.55227,13.48476655
#317,m3,No UV,11463.55227,13.48476655
#009,m3,No UV,11470.47053,13.48563695
#263,m3,No UV,11470.47053,13.48563695
#281,m3,No UV,11477.38879,13.48650683
#003,m3,No UV,11484.30705,13.48737619
#009,m3,No UV,11491.2253,13.48824502
#006,m3,No UV,11553.48962,13.49604105
#003,m3,No UV,11588.0809,13.50035404
