mutation,frequency,position
Kcnh5,0.214,1
Egfr,0.356,1
Notch4,0.5,1
Kmt2d,0.331,1
Akt1,0.323,1
Kmt2a,0.3,1
Casp8,0.238,1
Scn11a,0.18,1
Nlrp1a,0.167,1
Erbb4,0.159,1
