mutation,frequency,position
Prex2,0.673,1
Prex2,0.294,2
Adamts18,0.455,1
Adamts18,0.019,2
Adamts18,0.013,3
Nf1,0.438,1
Nf1,0.355,2
Muc3,0.43,1
Muc3,0.025,2
Kmt2d,0.424,1
Kmt2d,0.007213,2
Grin2a,0.421,1
Pced1b,0.418,1
Notch1,0.417,1
Apob,0.414,1
Trp53,0.413,1
Trp53,0.392,2
