month,treatment,skewness,skew_se,kurtosis,kurtosis_se
1,No UV,0.527,0.059,-0.265,0.118
1,UV,0.395,0.058,-0.316,0.115
2,No UV,0.508,0.065,-0.28,0.13
2,UV,0.542,0.065,0.006,0.131
3,No UV,0.467,0.071,-0.415,0.143
3,UV,0.631,0.075,0.259,0.15
4,No UV,0.527,0.074,-0.45,0.148
4,UV,0.822,0.073,0.635,0.145
5,No UV,0.499,0.075,-0.67,0.15
5,UV,0.943,0.084,1.007,0.167
6,No UV,0.515,0.088,-0.614,0.175
6,UV,0.646,0.079,0.14,0.152
