,mouse_id,month,treatment,structure_volume
30972,#970,m2,UV,13.06653307
4378,#006,m1,UV,13.06769606
10940,#009,m2,UV,13.06769606
16076,#131,m4,UV,13.06769606
19901,#263,m1,UV,13.06769606
23411,#282,m2,UV,13.06769606
33629,#974,m2,UV,13.06769606
12831,#022,m1,UV,13.06885812
23628,#282,m3,UV,13.06885812
25238,#291,m1,UV,13.06885812
33634,#974,m2,UV,13.06885812
22539,#282,m1,UV,13.07001924
24148,#289,m1,UV,13.07001924
17825,#258,m1,UV,13.07117943
9093,#009,m3,UV,13.07233869
10178,#009,m4,UV,13.07233869
18863,#258,m2,UV,13.07233869
17092,#131,m2,UV,13.07349701
19979,#263,m1,UV,13.07349701
35,#003,m1,UV,13.07465441
1012,#003,m2,UV,13.07465441
23319,#282,m2,UV,13.07465441
1284,#003,m2,UV,13.07581088
1960,#003,m3,UV,13.07581088
5680,#006,m3,UV,13.07581088
14036,#022,m3,UV,13.07581088
16052,#131,m4,UV,13.07581088
8883,#009,m3,UV,13.07696642
14163,#022,m3,UV,13.07696642
14877,#022,m4,UV,13.07696642
32050,#970,m4,UV,13.07696642
32365,#970,m5,UV,13.07696642
4436,#006,m1,UV,13.07812104
5134,#006,m2,UV,13.07812104
5711,#006,m3,UV,13.07812104
8973,#009,m3,UV,13.07927474
9330,#009,m3,UV,13.07927474
12764,#022,m1,UV,13.07927474
19366,#263,m3,UV,13.07927474
22588,#282,m1,UV,13.07927474
8960,#009,m3,UV,13.08042751
15393,#022,m5,UV,13.08042751
2638,#003,m4,UV,13.08157936
26009,#291,m3,UV,13.08157936
33728,#974,m2,UV,13.08157936
4089,#006,m1,UV,13.08273029
18867,#258,m2,UV,13.08273029
16039,#131,m4,UV,13.08388031
31508,#970,m3,UV,13.08388031
5614,#006,m3,UV,13.08502941
9188,#009,m3,UV,13.08502941
17694,#258,m1,UV,13.08502941
33730,#974,m2,UV,13.08502941
23648,#282,m3,UV,13.0861776
16611,#131,m1,UV,13.08732487
17639,#258,m1,UV,13.08732487
17954,#258,m1,UV,13.08732487
30073,#970,m1,UV,13.08732487
31048,#970,m2,UV,13.08847123
1210,#003,m2,UV,13.08961668
2907,#003,m4,UV,13.08961668
7387,#006,m6,UV,13.08961668
9835,#009,m4,UV,13.08961668
19861,#263,m1,UV,13.08961668
32664,#974,m1,UV,13.08961668
9908,#009,m4,UV,13.09076122
10988,#009,m2,UV,13.09076122
30586,#970,m6,UV,13.09076122
12540,#022,m1,UV,13.09190486
29661,#970,m1,UV,13.09304759
17145,#131,m3,UV,13.09418941
23659,#282,m3,UV,13.09418941
30703,#970,m6,UV,13.09418941
17255,#131,m3,UV,13.09647035
19025,#258,m2,UV,13.09647035
16106,#131,m4,UV,13.09760947
1244,#003,m2,UV,13.09874769
12756,#022,m1,UV,13.09874769
27776,#303,m3,UV,13.09874769
12878,#022,m1,UV,13.09988502
13333,#022,m2,UV,13.09988502
14720,#022,m4,UV,13.09988502
