,mouse_id,month,treatment,structure_volume,distribution_volume
121,#258,m1,UV,13.0489747,0.007482501
122,#281,m2,UV,13.0489747,0.007482501
123,#289,m2,UV,13.0489747,0.007482501
124,#970,m1,UV,13.0489747,0.007482501
125,#006,m2,UV,13.05015193,0.007603186
126,#263,m1,UV,13.05015193,0.007603186
127,#131,m4,UV,13.05367786,0.007784214
128,#263,m1,UV,13.05367786,0.007784214
129,#974,m3,UV,13.05367786,0.007784214
130,#006,m3,UV,13.05485126,0.007965243
131,#970,m4,UV,13.05485126,0.007965243
132,#974,m2,UV,13.05485126,0.007965243
133,#022,m1,UV,13.05602371,0.008146271
134,#263,m1,UV,13.05602371,0.008146271
135,#282,m1,UV,13.05602371,0.008146271
136,#009,m1,UV,13.0571952,0.008327299
137,#009,m3,UV,13.0571952,0.008327299
138,#022,m6,UV,13.0571952,0.008327299
139,#263,m1,UV,13.06070399,0.00856867
140,#263,m2,UV,13.06070399,0.00856867
141,#303,m2,UV,13.06070399,0.00856867
142,#317,m3,UV,13.06070399,0.00856867
143,#022,m1,UV,13.06187169,0.008749698
144,#131,m1,UV,13.06187169,0.008749698
145,#970,m1,UV,13.06187169,0.008749698
146,#131,m3,UV,13.06303845,0.008810041
147,#003,m1,UV,13.06420426,0.008930727
148,#258,m2,UV,13.06420426,0.008930727
149,#131,m2,UV,13.06536913,0.009111755
150,#974,m1,UV,13.06536913,0.009111755
151,#974,m2,UV,13.06536913,0.009111755
152,#006,m2,UV,13.06653307,0.009353126
153,#131,m3,UV,13.06653307,0.009353126
154,#303,m1,UV,13.06653307,0.009353126
155,#970,m2,UV,13.06653307,0.009353126
156,#006,m1,UV,13.06769606,0.009715182
157,#009,m2,UV,13.06769606,0.009715182
158,#131,m4,UV,13.06769606,0.009715182
159,#263,m1,UV,13.06769606,0.009715182
160,#282,m2,UV,13.06769606,0.009715182
161,#974,m2,UV,13.06769606,0.009715182
162,#022,m1,UV,13.06885812,0.009956553
163,#282,m3,UV,13.06885812,0.009956553
164,#291,m1,UV,13.06885812,0.009956553
165,#974,m2,UV,13.06885812,0.009956553
166,#282,m1,UV,13.07001924,0.010077239
167,#289,m1,UV,13.07001924,0.010077239
168,#258,m1,UV,13.07117943,0.010137581
169,#009,m3,UV,13.07233869,0.01031861
170,#009,m4,UV,13.07233869,0.01031861
171,#258,m2,UV,13.07233869,0.01031861
172,#131,m2,UV,13.07349701,0.010439295
173,#263,m1,UV,13.07349701,0.010439295
174,#003,m1,UV,13.07465441,0.010620323
175,#003,m2,UV,13.07465441,0.010620323
176,#282,m2,UV,13.07465441,0.010620323
177,#003,m2,UV,13.07581088,0.010922037
178,#003,m3,UV,13.07581088,0.010922037
179,#006,m3,UV,13.07581088,0.010922037
180,#022,m3,UV,13.07581088,0.010922037
181,#131,m4,UV,13.07581088,0.010922037
182,#009,m3,UV,13.07696642,0.011223751
183,#022,m3,UV,13.07696642,0.011223751
184,#022,m4,UV,13.07696642,0.011223751
185,#970,m4,UV,13.07696642,0.011223751
186,#970,m5,UV,13.07696642,0.011223751
187,#006,m1,UV,13.07812104,0.011404779
188,#006,m2,UV,13.07812104,0.011404779
189,#006,m3,UV,13.07812104,0.011404779
190,#009,m3,UV,13.07927474,0.011706493
191,#009,m3,UV,13.07927474,0.011706493
192,#022,m1,UV,13.07927474,0.011706493
193,#263,m3,UV,13.07927474,0.011706493
194,#282,m1,UV,13.07927474,0.011706493
195,#009,m3,UV,13.08042751,0.011827178
196,#022,m5,UV,13.08042751,0.011827178
197,#003,m4,UV,13.08157936,0.012008207
198,#291,m3,UV,13.08157936,0.012008207
199,#974,m2,UV,13.08157936,0.012008207
200,#006,m1,UV,13.08273029,0.012128892
201,#258,m2,UV,13.08273029,0.012128892
202,#131,m4,UV,13.08388031,0.012249578
203,#970,m3,UV,13.08388031,0.012249578
204,#006,m3,UV,13.08502941,0.012490949
205,#009,m3,UV,13.08502941,0.012490949
206,#258,m1,UV,13.08502941,0.012490949
207,#974,m2,UV,13.08502941,0.012490949
208,#282,m3,UV,13.0861776,0.012551291
209,#131,m1,UV,13.08732487,0.012792662
210,#258,m1,UV,13.08732487,0.012792662
211,#258,m1,UV,13.08732487,0.012792662
212,#970,m1,UV,13.08732487,0.012792662
213,#970,m2,UV,13.08847123,0.012853005
214,#003,m2,UV,13.08961668,0.013215062
215,#003,m4,UV,13.08961668,0.013215062
216,#006,m6,UV,13.08961668,0.013215062
217,#009,m4,UV,13.08961668,0.013215062
218,#263,m1,UV,13.08961668,0.013215062
219,#974,m1,UV,13.08961668,0.013215062
220,#009,m4,UV,13.09076122,0.01339609
221,#009,m2,UV,13.09076122,0.01339609
222,#970,m6,UV,13.09076122,0.01339609
223,#022,m1,UV,13.09190486,0.013456433
224,#970,m1,UV,13.09304759,0.013516775
225,#131,m3,UV,13.09418941,0.013697804
226,#282,m3,UV,13.09418941,0.013697804
227,#970,m6,UV,13.09418941,0.013697804
228,#131,m3,UV,13.09647035,0.013818489
229,#258,m2,UV,13.09647035,0.013818489
230,#131,m4,UV,13.09760947,0.013878832
231,#003,m2,UV,13.09874769,0.01405986
232,#022,m1,UV,13.09874769,0.01405986
233,#303,m3,UV,13.09874769,0.01405986
234,#022,m1,UV,13.09988502,0.014602945
235,#022,m2,UV,13.09988502,0.014602945
236,#022,m4,UV,13.09988502,0.014602945
237,#022,m4,UV,13.09988502,0.014602945
238,#131,m3,UV,13.09988502,0.014602945
239,#263,m3,UV,13.09988502,0.014602945
240,#282,m1,UV,13.09988502,0.014602945
241,#282,m3,UV,13.09988502,0.014602945
242,#289,m2,UV,13.09988502,0.014602945
243,#006,m5,UV,13.10102144,0.014904658
244,#009,m3,UV,13.10102144,0.014904658
245,#022,m5,UV,13.10102144,0.014904658
246,#258,m1,UV,13.10102144,0.014904658
247,#970,m1,UV,13.10102144,0.014904658
248,#282,m1,UV,13.10215698,0.015085687
249,#317,m1,UV,13.10215698,0.015085687
250,#974,m3,UV,13.10215698,0.015085687
251,#282,m2,UV,13.10329162,0.015266715
252,#289,m2,UV,13.10329162,0.015266715
253,#970,m4,UV,13.10329162,0.015266715
254,#009,m3,UV,13.10442537,0.0153874
255,#263,m3,UV,13.10442537,0.0153874
256,#317,m2,UV,13.10782128,0.015447743
257,#022,m4,UV,13.10895147,0.015508086
258,#022,m3,UV,13.11008078,0.015749457
259,#281,m1,UV,13.11008078,0.015749457
260,#282,m1,UV,13.11008078,0.015749457
261,#282,m1,UV,13.11008078,0.015749457
262,#003,m1,UV,13.11120921,0.016111513
263,#022,m3,UV,13.11120921,0.016111513
264,#131,m4,UV,13.11120921,0.016111513
265,#258,m1,UV,13.11120921,0.016111513
266,#281,m2,UV,13.11120921,0.016111513
267,#970,m4,UV,13.11120921,0.016111513
268,#003,m1,UV,13.11233676,0.016352884
269,#009,m3,UV,13.11233676,0.016352884
270,#009,m2,UV,13.11233676,0.016352884
271,#263,m2,UV,13.11233676,0.016352884
272,#022,m5,UV,13.11346342,0.016413227
273,#003,m4,UV,13.11458921,0.016654598
274,#009,m2,UV,13.11458921,0.016654598
275,#131,m3,UV,13.11458921,0.016654598
276,#970,m4,UV,13.11458921,0.016654598
277,#006,m5,UV,13.11571412,0.017076997
278,#009,m2,UV,13.11571412,0.017076997
279,#022,m6,UV,13.11571412,0.017076997
280,#022,m4,UV,13.11571412,0.017076997
281,#263,m1,UV,13.11571412,0.017076997
282,#970,m5,UV,13.11571412,0.017076997
283,#974,m3,UV,13.11571412,0.017076997
284,#009,m3,UV,13.11683815,0.017258026
285,#022,m4,UV,13.11683815,0.017258026
286,#974,m3,UV,13.11683815,0.017258026
287,#003,m1,UV,13.11796131,0.017620082
288,#003,m1,UV,13.11796131,0.017620082
289,#003,m6,UV,13.11796131,0.017620082
290,#258,m1,UV,13.11796131,0.017620082
291,#282,m1,UV,13.11796131,0.017620082
292,#282,m2,UV,13.11796131,0.017620082
293,#131,m1,UV,13.11908359,0.017740768
294,#289,m3,UV,13.11908359,0.017740768
295,#003,m6,UV,13.120205,0.01780111
296,#003,m1,UV,13.12132554,0.017982139
297,#022,m4,UV,13.12132554,0.017982139
298,#289,m1,UV,13.12132554,0.017982139
299,#006,m5,UV,13.12244521,0.01822351
300,#289,m2,UV,13.12244521,0.01822351
301,#317,m1,UV,13.12244521,0.01822351
302,#970,m5,UV,13.12244521,0.01822351
303,#003,m1,UV,13.12356401,0.018525223
304,#258,m1,UV,13.12356401,0.018525223
305,#263,m3,UV,13.12356401,0.018525223
306,#289,m1,UV,13.12356401,0.018525223
307,#974,m1,UV,13.12356401,0.018525223
308,#263,m1,UV,13.12579902,0.018585566
309,#003,m4,UV,13.12691522,0.018645909
310,#003,m6,UV,13.12803056,0.018826937
311,#009,m3,UV,13.12803056,0.018826937
312,#970,m3,UV,13.12803056,0.018826937
313,#282,m1,UV,13.12914504,0.01888728
314,#003,m3,UV,13.13025866,0.019188993
315,#003,m4,UV,13.13025866,0.019188993
316,#009,m1,UV,13.13025866,0.019188993
317,#022,m5,UV,13.13025866,0.019188993
318,#303,m1,UV,13.13025866,0.019188993
319,#022,m5,UV,13.13137143,0.019249336
320,#003,m3,UV,13.13248333,0.019370022
321,#970,m1,UV,13.13248333,0.019370022
322,#022,m1,UV,13.13359438,0.019671735
323,#281,m1,UV,13.13359438,0.019671735
324,#282,m2,UV,13.13359438,0.019671735
325,#289,m1,UV,13.13359438,0.019671735
326,#974,m2,UV,13.13359438,0.019671735
327,#281,m1,UV,13.13470457,0.019732078
328,#003,m3,UV,13.13581391,0.020033792
329,#003,m5,UV,13.13581391,0.020033792
330,#022,m1,UV,13.13581391,0.020033792
331,#289,m1,UV,13.13581391,0.020033792
332,#970,m5,UV,13.13581391,0.020033792
333,#022,m5,UV,13.13692239,0.020395848
334,#281,m3,UV,13.13692239,0.020395848
335,#289,m1,UV,13.13692239,0.020395848
336,#303,m2,UV,13.13692239,0.020395848
337,#974,m1,UV,13.13692239,0.020395848
338,#974,m2,UV,13.13692239,0.020395848
