"","mouse_id","month","treatment","clade_volume","ln2volume"
"536","#006","m6","UV",97028.55802,16.56612181
"537","#006","m6","UV",97056.23104,16.56653322
"538","#022","m6","UV",97332.96133,16.57064083
"539","#006","m6","UV",97879.50366,16.57871917
"540","#006","m6","UV",98114.7244,16.58218204
"541","#006","m6","UV",98253.08955,16.58421515
"542","#006","m6","UV",98605.92067,16.58938665
"543","#003","m6","UV",98688.93976,16.59060079
"544","#022","m6","UV",98751.20407,16.59151072
"545","#006","m6","UV",99187.05428,16.59786421
"546","#022","m6","UV",99263.15511,16.59897069
"547","#006","m6","UV",100072.5912,16.61068736
"548","#022","m6","UV",100536.1144,16.61735431
"549","#006","m6","UV",100639.8883,16.6188427
"550","#022","m6","UV",100792.09,16.6210229
"551","#022","m6","UV",101041.1472,16.6245834
"552","#003","m6","UV",101456.2427,16.63049811
"553","#022","m6","UV",101663.7904,16.6334464
"554","#970","m6","UV",101677.6269,16.63364274
"555","#006","m6","UV",102023.5398,16.63854254
"556","#003","m6","UV",103303.4173,16.65652845
"557","#003","m6","UV",103635.4937,16.66115866
"558","#003","m6","UV",103725.431,16.66241013
"559","#003","m6","UV",103912.224,16.66500585
"560","#006","m6","UV",104258.1368,16.66980046
"561","#006","m6","UV",104514.1124,16.67333823
"562","#970","m6","UV",104714.7418,16.67610503
"563","#003","m6","UV",104860.0252,16.67810527
"564","#006","m6","UV",105199.0198,16.68276174
"565","#022","m6","UV",107136.1319,16.70908559
"566","#022","m6","UV",107170.7232,16.70955132
"567","#970","m6","UV",108457.519,16.72677055
"568","#006","m6","UV",108671.985,16.72962054
"569","#022","m6","UV",109384.5655,16.73904966
"570","#003","m6","UV",109612.868,16.74205765
"571","#003","m6","UV",109889.5983,16.74569531
"572","#003","m6","UV",110277.0207,16.75077267
"573","#003","m6","UV",110318.5302,16.75131562
"574","#003","m6","UV",110539.9144,16.75420788
"575","#022","m6","UV",111259.4132,16.76356788
"576","#022","m6","UV",111709.0999,16.76938719
"577","#006","m6","UV",111778.2825,16.77028039
"578","#022","m6","UV",113473.2555,16.79199278
"579","#022","m6","UV",113618.5389,16.79383873
"580","#022","m6","UV",114019.7978,16.79892482
"581","#006","m6","UV",114351.8742,16.80312049
"582","#006","m6","UV",114725.4601,16.80782607
"583","#022","m6","UV",115548.7327,16.81814191
"584","#970","m6","UV",117305.97,16.83991691
"585","#006","m6","UV",117741.8202,16.84526731
"586","#970","m6","UV",118350.6269,16.85270782
"587","#022","m6","UV",118440.5642,16.85380374
"588","#022","m6","UV",119464.4663,16.86622204
"589","#003","m6","UV",119512.8941,16.86680675
"590","#022","m6","UV",120087.1094,16.87372177
"591","#022","m6","UV",121636.7991,16.89222023
"592","#003","m6","UV",121789.0007,16.89402432
"593","#006","m6","UV",121844.3468,16.89467979
"594","#003","m6","UV",122259.4422,16.89958636
"595","#022","m6","UV",123103.4696,16.9095119
"596","#022","m6","UV",123968.2518,16.91961117
"597","#006","m6","UV",124182.7177,16.92210489
"598","#006","m6","UV",124231.1455,16.92266739
"599","#003","m6","UV",124341.8377,16.92395228
"600","#022","m6","UV",124604.7314,16.92699933
"601","#022","m6","UV",125372.658,16.93586323
"602","#006","m6","UV",125421.0858,16.93642039
"603","#003","m6","UV",125628.6335,16.9388058
"604","#006","m6","UV",126175.1758,16.94506857
"605","#022","m6","UV",126175.1758,16.94506857
"606","#022","m6","UV",126195.9306,16.94530586
"607","#006","m6","UV",126922.3476,16.95358659
"608","#006","m6","UV",127205.9962,16.95680715
"609","#003","m6","UV",127282.097,16.95766998
"610","#006","m6","UV",127890.9036,16.96455413
"611","#003","m6","UV",129239.9638,16.97969273
"612","#003","m6","UV",129392.1655,16.98139074
"613","#022","m6","UV",129613.5497,16.98385702
"614","#006","m6","UV",131765.1277,17.00760908
"615","#006","m6","UV",132180.2231,17.01214681
"616","#006","m6","UV",132311.67,17.01358079
"617","#006","m6","UV",134138.0899,17.03335944
"618","#006","m6","UV",136033.6924,17.05360449
"619","#003","m6","UV",136407.2783,17.0575611
"620","#006","m6","UV",137265.1422,17.06660578
"621","#003","m6","UV",137617.9733,17.07030938
"622","#003","m6","UV",137638.7281,17.07052694
"623","#022","m6","UV",137894.7036,17.07320752
"624","#006","m6","UV",138102.2513,17.07537731
"625","#003","m6","UV",138607.2841,17.08064355
"626","#003","m6","UV",138773.3223,17.08237073
"627","#022","m6","UV",140053.1999,17.09561542
"628","#003","m6","UV",140233.0746,17.09746713
"629","#003","m6","UV",140606.6605,17.10130541
"630","#022","m6","UV",140682.7613,17.10208603
"631","#022","m6","UV",140807.2899,17.1033625
"632","#022","m6","UV",141180.8758,17.10718515
"633","#003","m6","UV",141575.2165,17.11120921
"634","#003","m6","UV",143263.2713,17.12830926
"635","#006","m6","UV",144231.8273,17.13803003
"636","#970","m6","UV",144287.1733,17.13858353
"637","#022","m6","UV",144764.5331,17.14334866
"638","#022","m6","UV",145151.9555,17.14720448
"639","#006","m6","UV",145283.4024,17.14851037
"640","#003","m6","UV",145456.3588,17.15022684
"641","#970","m6","UV",145712.3343,17.15276348
"642","#022","m6","UV",147102.904,17.1664662
"643","#022","m6","UV",148313.5991,17.17829136
"644","#970","m6","UV",148479.6372,17.17990557
"645","#022","m6","UV",148687.1849,17.18192078
"646","#003","m6","UV",150160.7737,17.19614846
"647","#022","m6","UV",150354.4849,17.19800838
"648","#022","m6","UV",151163.921,17.20575432
"649","#003","m6","UV",151392.2235,17.20793158
"650","#022","m6","UV",151918.0111,17.2129334
"651","#970","m6","UV",155729.9708,17.2486871
"652","#022","m6","UV",157196.6414,17.26221087
"653","#022","m6","UV",157826.2028,17.26797722
"654","#022","m6","UV",158455.7642,17.27372062
"655","#003","m6","UV",158497.2737,17.2740985
"656","#022","m6","UV",159431.2385,17.28257481
"657","#006","m6","UV",160005.4538,17.28776155
"658","#970","m6","UV",160123.0642,17.2888216
"659","#022","m6","UV",160455.1405,17.29181048
"660","#006","m6","UV",161520.5522,17.30135822
"661","#970","m6","UV",161555.1434,17.30166716
"662","#003","m6","UV",161651.999,17.30253182
"663","#003","m6","UV",162060.1762,17.30617009
"664","#022","m6","UV",162350.743,17.30875446
"665","#022","m6","UV",163727.4762,17.32093693
"666","#006","m6","UV",165346.3484,17.33513166
"667","#022","m6","UV",166003.5829,17.34085485
"668","#003","m6","UV",166259.5584,17.34307776
"669","#006","m6","UV",166480.9426,17.34499751
"670","#006","m6","UV",166653.899,17.34649555
"671","#003","m6","UV",167255.7874,17.35169661
"672","#022","m6","UV",168079.06,17.35878047
"673","#022","m6","UV",168245.0982,17.36020495
"674","#006","m6","UV",168895.4144,17.36577063
"675","#022","m6","UV",169158.3082,17.36801451
"676","#022","m6","UV",169767.1148,17.3731975
"677","#006","m6","UV",169926.2347,17.37454908
"678","#022","m6","UV",171420.5783,17.38718078
"679","#970","m6","UV",171801.0824,17.3903796
"680","#006","m6","UV",172333.7882,17.39484606
"681","#006","m6","UV",172617.4368,17.39721868
"682","#003","m6","UV",173316.1808,17.40304683
"683","#970","m6","UV",173489.1372,17.40448581
"684","#006","m6","UV",173890.3961,17.40781873
"685","#006","m6","UV",174187.8812,17.41028473
"686","#970","m6","UV",175509.2683,17.42118769
"687","#003","m6","UV",176429.3965,17.42873144
"688","#022","m6","UV",177079.7127,17.43403941
"689","#006","m6","UV",177584.7455,17.43814813
"690","#022","m6","UV",181119.975,17.46658614
"691","#006","m6","UV",183216.2069,17.4831876
"692","#970","m6","UV",184516.8393,17.49339296
"693","#006","m6","UV",185077.2181,17.49776779
"694","#022","m6","UV",186239.4853,17.50679945
"695","#022","m6","UV",186322.5044,17.50744241
"696","#006","m6","UV",186723.7633,17.51054602
"697","#022","m6","UV",186827.5372,17.51134759
"698","#003","m6","UV",187055.8397,17.51310948
"699","#022","m6","UV",187457.0986,17.51620093
"700","#003","m6","UV",188308.0442,17.52273511
"701","#003","m6","UV",189041.3795,17.52834254
"702","#006","m6","UV",189214.336,17.52966187
"703","#022","m6","UV",189242.009,17.52987286
"704","#970","m6","UV",189497.9845,17.53182298
"705","#022","m6","UV",189574.0853,17.53240224
"706","#006","m6","UV",190155.2189,17.53681801
"707","#970","m6","UV",190383.5214,17.53854909
"708","#022","m6","UV",190584.1509,17.54006862
"709","#006","m6","UV",190805.5351,17.5417435
"710","#003","m6","UV",191877.865,17.54982877
"711","#006","m6","UV",193891.0779,17.56488689
"712","#003","m6","UV",197820.648,17.59383349
"713","#003","m6","UV",200069.0816,17.61013871
"714","#003","m6","UV",200920.0272,17.61626185
"715","#003","m6","UV",203631.9841,17.63560465
"716","#022","m6","UV",206267.8401,17.65415938
"717","#022","m6","UV",208066.587,17.66668578
"718","#006","m6","UV",210764.7073,17.68527378
"719","#006","m6","UV",211415.0235,17.68971837
"720","#006","m6","UV",211636.4077,17.69122831
"721","#003","m6","UV",214832.6426,17.71285369
"722","#003","m6","UV",215517.55,17.71744583
"723","#022","m6","UV",216555.2886,17.72437588
