"","mouse_id","month","treatment","clade_volume","ln2volume"
"133","#263","m1","UV",9132.099578,13.15673088
"134","#258","m1","UV",9139.017835,13.15782341
"135","#258","m1","UV",9152.85435,13.16000601
"136","#282","m1","UV",9152.85435,13.16000601
"137","#131","m1","UV",9159.772607,13.16109607
"138","#258","m1","UV",9159.772607,13.16109607
"139","#974","m1","UV",9159.772607,13.16109607
"140","#006","m1","UV",9166.690864,13.16218531
"141","#258","m1","UV",9166.690864,13.16218531
"142","#289","m1","UV",9166.690864,13.16218531
"143","#291","m1","UV",9180.527379,13.16436132
"144","#282","m1","UV",9187.445636,13.16544809
"145","#303","m1","UV",9187.445636,13.16544809
"146","#282","m1","UV",9208.200408,13.16870352
"147","#282","m1","UV",9222.036922,13.17086973
"148","#289","m1","UV",9222.036922,13.17086973
"149","#303","m1","UV",9222.036922,13.17086973
"150","#258","m1","UV",9242.791694,13.17411295
"151","#970","m1","UV",9263.546466,13.17734891
"152","#131","m1","UV",9277.38298,13.17950218
"153","#303","m1","UV",9284.301237,13.18057762
"154","#006","m1","UV",9291.219495,13.18165225
"155","#006","m1","UV",9305.056009,13.18379912
"156","#263","m1","UV",9305.056009,13.18379912
"157","#303","m1","UV",9305.056009,13.18379912
"158","#282","m1","UV",9311.974266,13.18487136
"159","#291","m1","UV",9339.647296,13.18915235
"160","#009","m1","UV",9353.48381,13.1912881
"161","#009","m1","UV",9353.48381,13.1912881
"162","#289","m1","UV",9353.48381,13.1912881
"163","#263","m1","UV",9367.320325,13.19342069
"164","#003","m1","UV",9381.156839,13.19555012
"165","#003","m1","UV",9388.075096,13.19661367
"166","#258","m1","UV",9394.993354,13.19767643
"167","#003","m1","UV",9408.829868,13.1997996
"168","#282","m1","UV",9408.829868,13.1997996
"169","#131","m1","UV",9422.666383,13.20191965
"170","#131","m1","UV",9422.666383,13.20191965
"171","#289","m1","UV",9422.666383,13.20191965
"172","#303","m1","UV",9422.666383,13.20191965
"173","#282","m1","UV",9429.58464,13.20297851
"174","#289","m1","UV",9429.58464,13.20297851
"175","#303","m1","UV",9436.502897,13.20403659
"176","#003","m1","UV",9443.421154,13.2050939
"177","#131","m1","UV",9443.421154,13.2050939
"178","#003","m1","UV",9450.339412,13.20615043
"179","#303","m1","UV",9450.339412,13.20615043
"180","#258","m1","UV",9484.930698,13.21142152
"181","#974","m1","UV",9484.930698,13.21142152
"182","#282","m1","UV",9519.521984,13.21667342
"183","#258","m1","UV",9533.358499,13.21876883
"184","#317","m1","UV",9533.358499,13.21876883
"185","#258","m1","UV",9540.276756,13.2198154
"186","#303","m1","UV",9540.276756,13.2198154
"187","#006","m1","UV",9547.195013,13.22086121
"188","#009","m1","UV",9547.195013,13.22086121
"189","#258","m1","UV",9547.195013,13.22086121
"190","#131","m1","UV",9567.949785,13.2239941
"191","#258","m1","UV",9581.786299,13.22607892
"192","#022","m1","UV",9595.622814,13.22816073
"193","#263","m1","UV",9602.541071,13.22920051
"194","#258","m1","UV",9623.295843,13.23231537
"195","#282","m1","UV",9623.295843,13.23231537
"196","#289","m1","UV",9630.2141,13.23335216
"197","#006","m1","UV",9637.132358,13.2343882
"198","#974","m1","UV",9650.968872,13.23645807
"199","#006","m1","UV",9657.887129,13.23749189
"200","#263","m1","UV",9657.887129,13.23749189
"201","#258","m1","UV",9664.805387,13.23852497
"202","#009","m1","UV",9685.560158,13.24161977
"203","#258","m1","UV",9685.560158,13.24161977
"204","#009","m1","UV",9692.478416,13.2426499
"205","#974","m1","UV",9706.31493,13.24470796
"206","#291","m1","UV",9713.233187,13.24573588
"207","#291","m1","UV",9720.151445,13.24676308
"208","#022","m1","UV",9727.069702,13.24778954
"209","#263","m1","UV",9747.824474,13.25086456
"210","#970","m1","UV",9747.824474,13.25086456
"211","#289","m1","UV",9754.742731,13.25188811
"212","#006","m1","UV",9761.660988,13.25291093
"213","#263","m1","UV",9768.579245,13.25393303
"214","#281","m1","UV",9775.497503,13.25495441
"215","#970","m1","UV",9775.497503,13.25495441
"216","#970","m1","UV",9782.41576,13.25597507
"217","#022","m1","UV",9789.334017,13.256995
"218","#281","m1","UV",9796.252274,13.25801421
"219","#009","m1","UV",9817.007046,13.26106754
"220","#970","m1","UV",9830.843561,13.2630995
"221","#291","m1","UV",9837.761818,13.26411441
"222","#003","m1","UV",9893.107876,13.27220809
"223","#289","m1","UV",9893.107876,13.27220809
"224","#970","m1","UV",9900.026133,13.27321662
"225","#131","m1","UV",9906.944391,13.27422444
"226","#974","m1","UV",9920.780905,13.27623797
"227","#022","m1","UV",9927.699162,13.27724368
"228","#974","m1","UV",9927.699162,13.27724368
"229","#970","m1","UV",9934.61742,13.2782487
"230","#006","m1","UV",9941.535677,13.27925301
"231","#003","m1","UV",9948.453934,13.28025662
"232","#022","m1","UV",9962.290449,13.28226176
"233","#131","m1","UV",9962.290449,13.28226176
"234","#281","m1","UV",9969.208706,13.28326328
"235","#282","m1","UV",9969.208706,13.28326328
"236","#970","m1","UV",9969.208706,13.28326328
"237","#022","m1","UV",9976.126963,13.28426411
"238","#263","m1","UV",9976.126963,13.28426411
"239","#974","m1","UV",9983.04522,13.28526425
"240","#003","m1","UV",10010.71825,13.28925787
"241","#970","m1","UV",10024.55476,13.29125054
"242","#131","m1","UV",10038.39128,13.29324047
"243","#303","m1","UV",10045.30954,13.2942344
"244","#974","m1","UV",10052.22779,13.29522765
"245","#006","m1","UV",10059.14605,13.29622022
"246","#281","m1","UV",10066.06431,13.2972121
"247","#131","m1","UV",10072.98257,13.2982033
"248","#282","m1","UV",10072.98257,13.2982033
"249","#258","m1","UV",10086.81908,13.30018367
"250","#003","m1","UV",10100.65559,13.30216132
"251","#970","m1","UV",10107.57385,13.30314912
"252","#003","m1","UV",10114.49211,13.30413626
"253","#281","m1","UV",10121.41037,13.30512272
"254","#974","m1","UV",10121.41037,13.30512272
"255","#022","m1","UV",10135.24688,13.30709361
"256","#263","m1","UV",10142.16514,13.30807805
"257","#282","m1","UV",10142.16514,13.30807805
"258","#303","m1","UV",10156.00165,13.31004491
"259","#282","m1","UV",10162.91991,13.31102734
"260","#003","m1","UV",10190.59294,13.31495038
"261","#289","m1","UV",10204.42945,13.3169079
"262","#131","m1","UV",10218.26597,13.31886277
"263","#282","m1","UV",10218.26597,13.31886277
"264","#263","m1","UV",10232.10248,13.320815
"265","#009","m1","UV",10239.02074,13.32179012
"266","#263","m1","UV",10245.939,13.32276459
"267","#282","m1","UV",10245.939,13.32276459
"268","#006","m1","UV",10252.85725,13.32373839
"269","#970","m1","UV",10252.85725,13.32373839
"270","#009","m1","UV",10273.61203,13.32665588
"271","#009","m1","UV",10280.53028,13.32762706
"272","#303","m1","UV",10294.3668,13.32956747
"273","#022","m1","UV",10301.28505,13.3305367
"274","#289","m1","UV",10315.12157,13.3324732
"275","#317","m1","UV",10335.87634,13.33537309
"276","#009","m1","UV",10342.7946,13.33633843
"277","#974","m1","UV",10342.7946,13.33633843
"278","#022","m1","UV",10349.71286,13.33730312
"279","#006","m1","UV",10356.63111,13.33826717
"280","#289","m1","UV",10370.46763,13.34019333
"281","#281","m1","UV",10377.38588,13.34115545
"282","#282","m1","UV",10377.38588,13.34115545
"283","#970","m1","UV",10377.38588,13.34115545
"284","#974","m1","UV",10398.14066,13.34403796
"285","#258","m1","UV",10411.97717,13.34595643
"286","#289","m1","UV",10418.89543,13.34691472
"287","#006","m1","UV",10425.81369,13.34787236
"288","#006","m1","UV",10432.73194,13.34882937
"289","#282","m1","UV",10446.56846,13.3507415
"290","#974","m1","UV",10453.48671,13.35169661
"291","#006","m1","UV",10467.32323,13.35360493
"292","#009","m1","UV",10481.15974,13.35551074
"293","#303","m1","UV",10481.15974,13.35551074
"294","#258","m1","UV",10501.91452,13.35836474
"295","#022","m1","UV",10522.66929,13.3612131
"296","#970","m1","UV",10522.66929,13.3612131
"297","#131","m1","UV",10557.26057,13.36594791
"298","#303","m1","UV",10557.26057,13.36594791
"299","#289","m1","UV",10564.17883,13.36689301
"300","#006","m1","UV",10591.85186,13.37066723
"301","#974","m1","UV",10591.85186,13.37066723
"302","#006","m1","UV",10605.68837,13.37255064
"303","#258","m1","UV",10605.68837,13.37255064
"304","#003","m1","UV",10612.60663,13.37349143
"305","#289","m1","UV",10619.52489,13.3744316
"306","#970","m1","UV",10619.52489,13.3744316
"307","#258","m1","UV",10633.3614,13.37631011
"308","#282","m1","UV",10640.27966,13.37724845
"309","#289","m1","UV",10647.19792,13.37818618
"310","#009","m1","UV",10654.11617,13.3791233
"311","#317","m1","UV",10654.11617,13.3791233
"312","#003","m1","UV",10667.95269,13.38099571
"313","#009","m1","UV",10674.87095,13.38193101
"314","#291","m1","UV",10681.7892,13.3828657
"315","#974","m1","UV",10695.62572,13.38473327
"316","#263","m1","UV",10702.54398,13.38566614
"317","#970","m1","UV",10702.54398,13.38566614
"318","#263","m1","UV",10716.38049,13.38753009
"319","#003","m1","UV",10723.29875,13.38846116
"320","#258","m1","UV",10730.217,13.38939163
"321","#003","m1","UV",10737.13526,13.3903215
"322","#006","m1","UV",10744.05352,13.39125078
"323","#022","m1","UV",10744.05352,13.39125078
"324","#281","m1","UV",10764.80829,13.39403501
"325","#003","m1","UV",10771.72655,13.39496189
"326","#009","m1","UV",10771.72655,13.39496189
"327","#282","m1","UV",10771.72655,13.39496189
"328","#022","m1","UV",10792.48132,13.39773898
"329","#289","m1","UV",10806.31783,13.3995874
"330","#009","m1","UV",10813.23609,13.40051072
"331","#303","m1","UV",10813.23609,13.40051072
"332","#282","m1","UV",10827.07261,13.4023556
"333","#258","m1","UV",10833.99086,13.40327716
"334","#009","m1","UV",10840.90912,13.40419813
"335","#258","m1","UV",10840.90912,13.40419813
"336","#022","m1","UV",10847.82738,13.40511851
"337","#003","m1","UV",10861.66389,13.40695751
"338","#258","m1","UV",10868.58215,13.40787613
"339","#282","m1","UV",10868.58215,13.40787613
"340","#009","m1","UV",10875.50041,13.40879416
"341","#258","m1","UV",10882.41866,13.40971162
"342","#970","m1","UV",10896.25518,13.41154477
"343","#282","m1","UV",10903.17344,13.41246048
"344","#006","m1","UV",10910.09169,13.41337561
"345","#281","m1","UV",10910.09169,13.41337561
"346","#006","m1","UV",10917.00995,13.41429015
"347","#289","m1","UV",10917.00995,13.41429015
"348","#974","m1","UV",10923.92821,13.41520412
"349","#263","m1","UV",10937.76472,13.41703031
"350","#022","m1","UV",10951.60124,13.4188542
"351","#009","m1","UV",10965.43775,13.42067579
"352","#009","m1","UV",10972.35601,13.42158572
"353","#303","m1","UV",10972.35601,13.42158572
"354","#303","m1","UV",10972.35601,13.42158572
"355","#131","m1","UV",10986.19252,13.42340386
"356","#282","m1","UV",10986.19252,13.42340386
"357","#289","m1","UV",10993.11078,13.42431207
"358","#303","m1","UV",10993.11078,13.42431207
"359","#022","m1","UV",11000.02904,13.42521971
"360","#009","m1","UV",11006.94729,13.42612678
"361","#303","m1","UV",11027.70207,13.42884458
"362","#263","m1","UV",11041.53858,13.4306536
"363","#006","m1","UV",11048.45684,13.43155726
"364","#022","m1","UV",11048.45684,13.43155726
"365","#131","m1","UV",11048.45684,13.43155726
"366","#303","m1","UV",11055.3751,13.43246035
"367","#289","m1","UV",11062.29335,13.43336288
"368","#258","m1","UV",11069.21161,13.43426485
"369","#263","m1","UV",11076.12987,13.43516625
"370","#303","m1","UV",11083.04812,13.43606709
"371","#003","m1","UV",11089.96638,13.43696737
"372","#009","m1","UV",11103.8029,13.43876624
"373","#281","m1","UV",11103.8029,13.43876624
"374","#006","m1","UV",11131.47593,13.44235727
"375","#006","m1","UV",11138.39418,13.44325363
"376","#009","m1","UV",11152.2307,13.44504469
"377","#974","m1","UV",11152.2307,13.44504469
"378","#970","m1","UV",11172.98547,13.44772711
"379","#131","m1","UV",11200.6585,13.45129593
"380","#009","m1","UV",11207.57676,13.45218676
"381","#303","m1","UV",11207.57676,13.45218676
"382","#974","m1","UV",11207.57676,13.45218676
"383","#009","m1","UV",11214.49501,13.45307704
"384","#970","m1","UV",11214.49501,13.45307704
"385","#006","m1","UV",11228.33153,13.45485595
"386","#003","m1","UV",11242.16804,13.45663266
