"","mouse_id","month","treatment","clade_volume","ln2volume"
"1","#022","m3","UV",8205.053106,13.00229696
"2","#022","m3","UV",8301.908707,13.01922735
"3","#970","m3","UV",8301.908707,13.01922735
"4","#022","m3","UV",8308.826964,13.0204291
"5","#970","m3","UV",8391.846051,13.0347725
"6","#006","m3","UV",8426.437338,13.04070708
"7","#006","m3","UV",8440.273852,13.04307409
"8","#022","m3","UV",8447.192109,13.04425615
"9","#022","m3","UV",8454.110367,13.04543723
"10","#006","m3","UV",8509.456425,13.05485126
"11","#003","m3","UV",8633.985055,13.07581088
"12","#006","m3","UV",8633.985055,13.07581088
"13","#022","m3","UV",8633.985055,13.07581088
"14","#022","m3","UV",8640.903313,13.07696642
"15","#006","m3","UV",8647.82157,13.07812104
"16","#970","m3","UV",8682.412856,13.08388031
"17","#006","m3","UV",8689.331113,13.08502941
"18","#022","m3","UV",8841.532773,13.11008078
"19","#022","m3","UV",8848.45103,13.11120921
"20","#970","m3","UV",8952.224889,13.12803056
"21","#003","m3","UV",8966.061404,13.13025866
"22","#003","m3","UV",8979.897918,13.13248333
"23","#003","m3","UV",9000.65269,13.13581391
"24","#970","m3","UV",9021.407462,13.13913682
"25","#970","m3","UV",9049.080491,13.14355549
"26","#006","m3","UV",9132.099578,13.15673088
"27","#970","m3","UV",9166.690864,13.16218531
"28","#006","m3","UV",9277.38298,13.17950218
"29","#022","m3","UV",9311.974266,13.18487136
"30","#003","m3","UV",9332.729038,13.18808329
"31","#022","m3","UV",9332.729038,13.18808329
"32","#970","m3","UV",9491.848955,13.21247343
"33","#970","m3","UV",9616.377586,13.23127783
"34","#003","m3","UV",9671.723644,13.23955731
"35","#970","m3","UV",9685.560158,13.24161977
"36","#003","m3","UV",9713.233187,13.24573588
"37","#022","m3","UV",9720.151445,13.24676308
"38","#003","m3","UV",9768.579245,13.25393303
"39","#970","m3","UV",9823.925303,13.26208388
"40","#022","m3","UV",9851.598332,13.26614209
"41","#970","m3","UV",9893.107876,13.27220809
"42","#003","m3","UV",9927.699162,13.27724368
"43","#022","m3","UV",9941.535677,13.27925301
"44","#022","m3","UV",9976.126963,13.28426411
"45","#003","m3","UV",10031.47302,13.29224585
"46","#003","m3","UV",10066.06431,13.2972121
"47","#022","m3","UV",10086.81908,13.30018367
"48","#970","m3","UV",10086.81908,13.30018367
"49","#970","m3","UV",10121.41037,13.30512272
"50","#970","m3","UV",10190.59294,13.31495038
"51","#970","m3","UV",10197.5112,13.31592947
"52","#006","m3","UV",10280.53028,13.32762706
"53","#003","m3","UV",10287.44854,13.32859759
"54","#022","m3","UV",10328.95808,13.33440711
"55","#003","m3","UV",10363.54937,13.33923057
"56","#006","m3","UV",10654.11617,13.3791233
"57","#022","m3","UV",10674.87095,13.38193101
"58","#022","m3","UV",10681.7892,13.3828657
"59","#970","m3","UV",10688.70746,13.38379978
"60","#022","m3","UV",10716.38049,13.38753009
"61","#003","m3","UV",10750.97178,13.39217945
"62","#003","m3","UV",10785.56306,13.39681387
"63","#970","m3","UV",10785.56306,13.39681387
"64","#022","m3","UV",10806.31783,13.3995874
"65","#022","m3","UV",10833.99086,13.40327716
"66","#970","m3","UV",10840.90912,13.40419813
"67","#003","m3","UV",10854.74564,13.4060383
"68","#022","m3","UV",10875.50041,13.40879416
"69","#003","m3","UV",10930.84646,13.4161175
"70","#006","m3","UV",10944.68298,13.41794255
"71","#022","m3","UV",10951.60124,13.4188542
