month,treatment,volume,number,proportion,FICM
m6,no_uv,7,45,0.056532663,0.3106973
m6,no_uv,8,32,0.040201005,0.1956919
m6,no_uv,9,20,0.025125628,0.1022271
m6,no_uv,10,10,0.012562814,0.03650967
m6,uv,0,81,0.076343073,1
m6,uv,1,156,0.147031103,1
m6,uv,2,154,0.145146089,0.9611747
m6,uv,3,137,0.129123468,0.8845197
m6,uv,4,165,0.155513666,0.78223
m6,uv,5,115,0.108388313,0.6179691
m6,uv,6,102,0.096135721,0.4748631
m6,uv,7,53,0.049952875,0.3225485
m6,uv,8,36,0.033930254,0.230214
m6,uv,9,21,0.019792648,0.1585366
m6,uv,10,7,0.006597549,0.1114983
m6,uv,11,30,0.028275212,0.09407665
m6,uv,12,4,0.003770028,0.01194624
