"","mouse_id","month","treatment","clade_volume","ln2volume"
"133","#970","m1","UV",11671.09999,13.51065292
"134","#970","m1","UV",11726.44605,13.51747822
"135","#970","m1","UV",11726.44605,13.51747822
"136","#022","m1","UV",11754.11908,13.5208788
"137","#022","m1","UV",11788.71036,13.52511828
"138","#022","m1","UV",11830.21991,13.53018927
"139","#003","m1","UV",11913.239,13.54027809
"140","#003","m1","UV",11933.99377,13.54278931
"141","#003","m1","UV",12044.68588,13.55610915
"142","#970","m1","UV",12093.11368,13.56189813
"143","#006","m1","UV",12113.86846,13.56437203
"144","#022","m1","UV",12127.70497,13.56601894
"145","#006","m1","UV",12189.96929,13.57340687
"146","#022","m1","UV",12210.72406,13.57586113
"147","#003","m1","UV",12224.56057,13.57749499
"148","#006","m1","UV",12224.56057,13.57749499
"149","#003","m1","UV",12238.39709,13.57912699
"150","#022","m1","UV",12266.07012,13.58238548
"151","#003","m1","UV",12383.68049,13.59615253
"152","#970","m1","UV",12390.59875,13.59695828
"153","#970","m1","UV",12397.517,13.59776358
"154","#970","m1","UV",12404.43526,13.59856843
"155","#003","m1","UV",12411.35352,13.59937284
"156","#006","m1","UV",12425.19003,13.6009803
"157","#006","m1","UV",12432.10829,13.60178335
"158","#006","m1","UV",12445.9448,13.60338813
"159","#022","m1","UV",12445.9448,13.60338813
"160","#003","m1","UV",12494.3726,13.60899084
"161","#003","m1","UV",12605.06472,13.62171591
"162","#003","m1","UV",12646.57426,13.62645902
"163","#003","m1","UV",12660.41078,13.62803659
"164","#970","m1","UV",12674.24729,13.62961245
"165","#003","m1","UV",12681.16555,13.63039973
"166","#003","m1","UV",12715.75684,13.63432971
"167","#006","m1","UV",12798.77592,13.64371822
"168","#022","m1","UV",12805.69418,13.64449784
"169","#003","m1","UV",12840.28547,13.64838966
"170","#022","m1","UV",12902.54978,13.65536858
"171","#970","m1","UV",12902.54978,13.65536858
"172","#006","m1","UV",12909.46804,13.65614193
"173","#003","m1","UV",12985.56887,13.6646216
"174","#006","m1","UV",12985.56887,13.6646216
"175","#970","m1","UV",13130.85227,13.68067294
"176","#022","m1","UV",13151.60704,13.68295148
"177","#970","m1","UV",13151.60704,13.68295148
"178","#022","m1","UV",13158.5253,13.68371019
"179","#006","m1","UV",13186.19833,13.68674107
"180","#970","m1","UV",13213.87136,13.68976558
"181","#003","m1","UV",13227.70787,13.69127547
"182","#970","m1","UV",13227.70787,13.69127547
"183","#970","m1","UV",13276.13567,13.69654766
"184","#006","m1","UV",13338.39999,13.703298
"185","#006","m1","UV",13386.82779,13.70852651
"186","#022","m1","UV",13414.50082,13.71150575
"187","#003","m1","UV",13428.33733,13.71299306
"188","#006","m1","UV",13462.92862,13.71670466
"189","#006","m1","UV",13462.92862,13.71670466
"190","#022","m1","UV",13469.84688,13.71744583
"191","#006","m1","UV",13483.68339,13.71892704
"192","#970","m1","UV",13490.60165,13.71966707
"193","#003","m1","UV",13532.11119,13.72409932
"194","#003","m1","UV",13545.94771,13.72557371
"195","#006","m1","UV",13545.94771,13.72557371
"196","#006","m1","UV",13718.90414,13.74387762
"197","#003","m1","UV",13732.74065,13.74533195
"198","#970","m1","UV",13801.92323,13.75258169
"199","#022","m1","UV",14023.30746,13.77553903
"200","#006","m1","UV",14044.06223,13.77767267
"201","#003","m1","UV",14050.98049,13.77838319
"202","#022","m1","UV",14133.99957,13.78688215
