mouse_id,month,treatment,structure_volume
#970,m2,UV,13.08847123
#003,m2,UV,13.08961668
#003,m4,UV,13.08961668
#006,m6,UV,13.08961668
#009,m4,UV,13.08961668
#263,m1,UV,13.08961668
#974,m1,UV,13.08961668
#009,m4,UV,13.09076122
#009,m2,UV,13.09076122
#970,m6,UV,13.09076122
#022,m1,UV,13.09190486
#970,m1,UV,13.09304759
#131,m3,UV,13.09418941
#282,m3,UV,13.09418941
#970,m6,UV,13.09418941
#131,m3,UV,13.09647035
#258,m2,UV,13.09647035
#131,m4,UV,13.09760947
#003,m2,UV,13.09874769
#022,m1,UV,13.09874769
#303,m3,UV,13.09874769
#022,m1,UV,13.09988502
#022,m2,UV,13.09988502
#022,m4,UV,13.09988502
#022,m4,UV,13.09988502
#131,m3,UV,13.09988502
#263,m3,UV,13.09988502
#282,m1,UV,13.09988502
#282,m3,UV,13.09988502
#289,m2,UV,13.09988502
#006,m5,UV,13.10102144
#009,m3,UV,13.10102144
#022,m5,UV,13.10102144
#258,m1,UV,13.10102144
#970,m1,UV,13.10102144
#282,m1,UV,13.10215698
#317,m1,UV,13.10215698
#974,m3,UV,13.10215698
#282,m2,UV,13.10329162
#289,m2,UV,13.10329162
#970,m4,UV,13.10329162
#009,m3,UV,13.10442537
#263,m3,UV,13.10442537
#317,m2,UV,13.10782128
#022,m4,UV,13.10895147
#022,m3,UV,13.11008078
#281,m1,UV,13.11008078
#282,m1,UV,13.11008078
#282,m1,UV,13.11008078
#003,m1,UV,13.11120921
#022,m3,UV,13.11120921
#131,m4,UV,13.11120921
#258,m1,UV,13.11120921
#281,m2,UV,13.11120921
#970,m4,UV,13.11120921
#003,m1,UV,13.11233676
#009,m3,UV,13.11233676
#009,m2,UV,13.11233676
#263,m2,UV,13.11233676
#022,m5,UV,13.11346342
#003,m4,UV,13.11458921
#009,m2,UV,13.11458921
#131,m3,UV,13.11458921
#970,m4,UV,13.11458921
#006,m5,UV,13.11571412
#009,m2,UV,13.11571412
#022,m6,UV,13.11571412
#022,m4,UV,13.11571412
#263,m1,UV,13.11571412
#970,m5,UV,13.11571412
#974,m3,UV,13.11571412
#009,m3,UV,13.11683815
#022,m4,UV,13.11683815
#974,m3,UV,13.11683815
#003,m1,UV,13.11796131
#003,m1,UV,13.11796131
#003,m6,UV,13.11796131
#258,m1,UV,13.11796131
#282,m1,UV,13.11796131
#282,m2,UV,13.11796131
#131,m1,UV,13.11908359
#289,m3,UV,13.11908359
#003,m6,UV,13.120205
#003,m1,UV,13.12132554
#022,m4,UV,13.12132554
#289,m1,UV,13.12132554
#006,m5,UV,13.12244521
#289,m2,UV,13.12244521
#317,m1,UV,13.12244521
#970,m5,UV,13.12244521
#003,m1,UV,13.12356401
#258,m1,UV,13.12356401
#263,m3,UV,13.12356401
#289,m1,UV,13.12356401
#974,m1,UV,13.12356401
#263,m1,UV,13.12579902
#003,m4,UV,13.12691522
#003,m6,UV,13.12803056
#009,m3,UV,13.12803056
#970,m3,UV,13.12803056
#282,m1,UV,13.12914504
#003,m3,UV,13.13025866
#003,m4,UV,13.13025866
#009,m1,UV,13.13025866
#022,m5,UV,13.13025866
#303,m1,UV,13.13025866
#022,m5,UV,13.13137143
#003,m3,UV,13.13248333
#970,m1,UV,13.13248333
#022,m1,UV,13.13359438
#281,m1,UV,13.13359438
#282,m2,UV,13.13359438
#289,m1,UV,13.13359438
#974,m2,UV,13.13359438
#281,m1,UV,13.13470457
#003,m3,UV,13.13581391
#003,m5,UV,13.13581391
#022,m1,UV,13.13581391
#289,m1,UV,13.13581391
#970,m5,UV,13.13581391
#022,m5,UV,13.13692239
#281,m3,UV,13.13692239
#289,m1,UV,13.13692239
#303,m2,UV,13.13692239
#974,m1,UV,13.13692239
#974,m2,UV,13.13692239
#022,m5,UV,13.13803003
#258,m1,UV,13.13803003
#006,m1,UV,13.13913682
#131,m2,UV,13.13913682
#282,m2,UV,13.13913682
#970,m3,UV,13.13913682
#022,m1,UV,13.14024275
#281,m1,UV,13.14024275
#970,m2,UV,13.14024275
#003,m2,UV,13.14134784
#009,m3,UV,13.14134784
#131,m2,UV,13.14134784
#317,m3,UV,13.14134784
#282,m3,UV,13.14245209
#003,m4,UV,13.14355549
#009,m4,UV,13.14355549
#022,m2,UV,13.14355549
#281,m3,UV,13.14355549
#970,m3,UV,13.14355549
#022,m4,UV,13.14465804
#006,m2,UV,13.14686063
#317,m1,UV,13.14686063
#003,m2,UV,13.14905986
#003,m5,UV,13.14905986
#009,m2,UV,13.14905986
#970,m2,UV,13.15015822
#009,m1,UV,13.15125575
#022,m4,UV,13.15125575
#281,m1,UV,13.15125575
#974,m3,UV,13.15125575
#282,m1,UV,13.15235244
#291,m1,UV,13.15235244
#303,m1,UV,13.15235244
#263,m3,UV,13.15344829
#282,m3,UV,13.15344829
#003,m2,UV,13.15454332
#003,m4,UV,13.15454332
#009,m3,UV,13.15454332
#009,m3,UV,13.15454332
#009,m2,UV,13.15454332
#022,m1,UV,13.15454332
#263,m3,UV,13.15454332
#303,m3,UV,13.15454332
#974,m1,UV,13.15454332
#974,m2,UV,13.15563751
#003,m1,UV,13.15673088
#006,m3,UV,13.15673088
#263,m3,UV,13.15673088
#263,m1,UV,13.15673088
#282,m2,UV,13.15673088
#303,m2,UV,13.15673088
#006,m2,UV,13.15782341
#258,m1,UV,13.15782341
#022,m4,UV,13.16000601
#258,m1,UV,13.16000601
#282,m1,UV,13.16000601
#006,m5,UV,13.16109607
#131,m1,UV,13.16109607
#258,m1,UV,13.16109607
#970,m2,UV,13.16109607
#974,m1,UV,13.16109607
#003,m6,UV,13.16218531
#006,m1,UV,13.16218531
#006,m6,UV,13.16218531
#258,m1,UV,13.16218531
#289,m1,UV,13.16218531
#970,m3,UV,13.16218531
#974,m3,UV,13.16218531
#003,m5,UV,13.16327372
#131,m2,UV,13.16327372
#289,m3,UV,13.16327372
#289,m3,UV,13.16327372
#006,m6,UV,13.16436132
#009,m3,UV,13.16436132
#291,m1,UV,13.16436132
#006,m4,UV,13.16544809
#022,m6,UV,13.16544809
#282,m1,UV,13.16544809
#303,m1,UV,13.16544809
#006,m2,UV,13.16653405
#131,m4,UV,13.16653405
#282,m1,UV,13.16870352
#282,m2,UV,13.16870352
#003,m2,UV,13.16978703
#006,m2,UV,13.16978703
#009,m3,UV,13.16978703
#282,m1,UV,13.17086973
#289,m1,UV,13.17086973
#303,m1,UV,13.17086973
#263,m2,UV,13.17195161
#003,m2,UV,13.17303269
#022,m4,UV,13.17411295
#258,m1,UV,13.17411295
#282,m2,UV,13.17411295
#974,m3,UV,13.17411295
#003,m4,UV,13.17519241
#022,m4,UV,13.17519241
