"","mouse_id","month","treatment","clade_volume","ln2volume"
"1","#022","m4","UV",8225.807877,13.00594166
"2","#022","m4","UV",8301.908707,13.01922735
"3","#022","m4","UV",8329.581736,13.02402834
"4","#022","m4","UV",8329.581736,13.02402834
"5","#006","m4","UV",8364.173022,13.03000719
"6","#970","m4","UV",8364.173022,13.03000719
"7","#022","m4","UV",8378.009537,13.03239181
"8","#003","m4","UV",8384.927794,13.03358264
"9","#970","m4","UV",8412.600823,13.03833617
"10","#970","m4","UV",8509.456425,13.05485126
"11","#022","m4","UV",8640.903313,13.07696642
"12","#970","m4","UV",8640.903313,13.07696642
"13","#003","m4","UV",8668.576342,13.08157936
"14","#003","m4","UV",8717.004142,13.08961668
"15","#022","m4","UV",8779.268458,13.09988502
"16","#022","m4","UV",8779.268458,13.09988502
"17","#970","m4","UV",8800.02323,13.10329162
"18","#022","m4","UV",8834.614516,13.10895147
"19","#970","m4","UV",8848.45103,13.11120921
"20","#003","m4","UV",8869.205802,13.11458921
"21","#970","m4","UV",8869.205802,13.11458921
"22","#022","m4","UV",8876.124059,13.11571412
"23","#022","m4","UV",8883.042317,13.11683815
"24","#022","m4","UV",8910.715346,13.12132554
"25","#003","m4","UV",8945.306632,13.12691522
"26","#003","m4","UV",8966.061404,13.13025866
"27","#003","m4","UV",9049.080491,13.14355549
"28","#022","m4","UV",9055.998748,13.14465804
"29","#022","m4","UV",9097.508292,13.15125575
"30","#003","m4","UV",9118.263063,13.15454332
"31","#022","m4","UV",9152.85435,13.16000601
"32","#006","m4","UV",9187.445636,13.16544809
"33","#022","m4","UV",9242.791694,13.17411295
"34","#003","m4","UV",9249.709951,13.17519241
"35","#022","m4","UV",9249.709951,13.17519241
"36","#006","m4","UV",9263.546466,13.17734891
"37","#022","m4","UV",9277.38298,13.17950218
"38","#003","m4","UV",9311.974266,13.18487136
"39","#006","m4","UV",9318.892524,13.1859428
"40","#970","m4","UV",9374.238582,13.1944858
"41","#003","m4","UV",9401.911611,13.1987384
"42","#022","m4","UV",9401.911611,13.1987384
"43","#006","m4","UV",9436.502897,13.20403659
"44","#970","m4","UV",9436.502897,13.20403659
"45","#022","m4","UV",9471.094183,13.20931539
"46","#970","m4","UV",9491.848955,13.21247343
"47","#006","m4","UV",9498.767212,13.21352457
"48","#022","m4","UV",9602.541071,13.22920051
"49","#006","m4","UV",9616.377586,13.23127783
"50","#003","m4","UV",9637.132358,13.2343882
"51","#970","m4","UV",9637.132358,13.2343882
"52","#022","m4","UV",9671.723644,13.23955731
"53","#970","m4","UV",9810.088789,13.26005048
"54","#006","m4","UV",9872.353104,13.26917828
"55","#006","m4","UV",9976.126963,13.28426411
"56","#003","m4","UV",9989.963478,13.28626369
"57","#970","m4","UV",10031.47302,13.29224585
"58","#006","m4","UV",10059.14605,13.29622022
"59","#022","m4","UV",10066.06431,13.2972121
"60","#006","m4","UV",10086.81908,13.30018367
"61","#970","m4","UV",10093.73734,13.30117283
"62","#003","m4","UV",10114.49211,13.30413626
"63","#003","m4","UV",10121.41037,13.30512272
"64","#003","m4","UV",10149.08339,13.30906182
"65","#006","m4","UV",10156.00165,13.31004491
"66","#970","m4","UV",10156.00165,13.31004491
"67","#022","m4","UV",10169.83817,13.3120091
"68","#006","m4","UV",10183.67468,13.31397062
"69","#970","m4","UV",10328.95808,13.33440711
"70","#970","m4","UV",10328.95808,13.33440711
"71","#003","m4","UV",10370.46763,13.34019333
"72","#970","m4","UV",10398.14066,13.34403796
"73","#022","m4","UV",10432.73194,13.34882937
"74","#022","m4","UV",10453.48671,13.35169661
"75","#970","m4","UV",10494.99626,13.35741403
"76","#006","m4","UV",10557.26057,13.36594791
"77","#006","m4","UV",10578.01534,13.36878135
"78","#022","m4","UV",10591.85186,13.37066723
"79","#003","m4","UV",10605.68837,13.37255064
"80","#022","m4","UV",10612.60663,13.37349143
"81","#022","m4","UV",10674.87095,13.38193101
"82","#003","m4","UV",10716.38049,13.38753009
