mouse_id,month,treatment,volume,density
#003,m1,No UV,14.48607196,0.252090473
#003,m1,No UV,14.49387971,0.253735435
#003,m1,No UV,14.49863039,0.254283756
#003,m1,No UV,14.50336548,0.256065798
#003,m1,No UV,14.50551267,0.256751199
#003,m1,No UV,14.50979748,0.2574366
#003,m1,No UV,14.51150785,0.258122001
#003,m1,No UV,14.51406961,0.258807402
#003,m1,No UV,14.52723336,0.260863605
#003,m1,No UV,14.52850092,0.261274846
#003,m1,No UV,14.53650304,0.262919808
#003,m1,No UV,14.53692298,0.263056888
#003,m1,No UV,14.53902084,0.263742289
#003,m1,No UV,14.54111565,0.26401645
#003,m1,No UV,14.54237108,0.26442769
#003,m1,No UV,14.55569476,0.266346813
#003,m1,No UV,14.55859299,0.267032214
#003,m1,No UV,14.57667829,0.270047978
#003,m1,No UV,14.58034979,0.270870459
#003,m1,No UV,14.59292503,0.272652502
#003,m1,No UV,14.59615253,0.273200822
#003,m1,No UV,14.61655988,0.275805346
#003,m1,No UV,14.62606435,0.277587389
#003,m1,No UV,14.62803659,0.277861549
#003,m1,No UV,14.6339372,0.278958191
#003,m1,No UV,14.64254799,0.280603153
#003,m1,No UV,14.65730119,0.282522276
#003,m1,No UV,14.66038799,0.283070596
#003,m1,No UV,14.66692561,0.284441398
#003,m1,No UV,14.67457918,0.28594928
#003,m1,No UV,14.69240685,0.289376285
#003,m1,No UV,14.70628804,0.291158328
#003,m1,No UV,14.7192971,0.293899931
#003,m1,No UV,14.7248367,0.294585332
#003,m1,No UV,14.73072226,0.295681974
#003,m1,No UV,14.73255658,0.295956134
#003,m1,No UV,14.73512072,0.296504455
#003,m1,No UV,14.73950582,0.298149417
#003,m1,No UV,14.74387762,0.298971899
#003,m1,No UV,14.74896138,0.30020562
#003,m1,No UV,14.76123356,0.301987663
#003,m1,No UV,14.77268927,0.304455106
#003,m1,No UV,14.77518312,0.304866347
#003,m1,No UV,14.78440845,0.306648389
#003,m1,No UV,14.78723519,0.30733379
#003,m1,No UV,14.80268401,0.310212474
#003,m1,No UV,14.80999939,0.311034955
#003,m1,No UV,14.8113886,0.311309116
#003,m1,No UV,14.81658626,0.312816998
#003,m1,No UV,14.82932765,0.315832762
#003,m1,No UV,14.83480278,0.316792324
#003,m1,No UV,14.85076684,0.319259767
#003,m1,No UV,14.85110459,0.319396847
#003,m1,No UV,14.85177985,0.319533927
#003,m1,No UV,14.85312943,0.319945168
#003,m1,No UV,14.85548815,0.320630569
#003,m1,No UV,14.86989345,0.322001371
#003,m1,No UV,14.87388799,0.322549692
#003,m1,No UV,14.87886566,0.323372173
#003,m1,No UV,14.8821746,0.323783413
#003,m1,No UV,14.88876979,0.324468814
#003,m1,No UV,14.89729871,0.326387937
#003,m1,No UV,14.89958636,0.326936258
#003,m1,No UV,14.90545231,0.3287183
#003,m1,No UV,14.9057775,0.328992461
#003,m1,No UV,14.91582213,0.330774503
#003,m1,No UV,14.92097922,0.331459904
#003,m1,No UV,14.92451406,0.332145305
#003,m1,No UV,14.92611795,0.332419465
#003,m1,No UV,14.92932038,0.332693626
#003,m1,No UV,14.93123843,0.333241947
#003,m1,No UV,14.94047324,0.33543523
#003,m1,No UV,14.96627004,0.341192598
#003,m1,No UV,14.97280302,0.342152159
#003,m1,No UV,14.98578087,0.344756683
#003,m1,No UV,15.0186261,0.350514051
#003,m1,No UV,15.02372874,0.351747772
#003,m1,No UV,15.02941042,0.353255655
#003,m1,No UV,15.03090189,0.353529815
#003,m1,No UV,15.03625843,0.354489376
#003,m1,No UV,15.0477965,0.356271419
#003,m1,No UV,15.05660957,0.357642221
#003,m1,No UV,15.0580732,0.358190541
#003,m1,No UV,15.06157985,0.359287183
#003,m1,No UV,15.07812104,0.362851268
#003,m1,No UV,15.08675135,0.36422207
#003,m1,No UV,15.10951624,0.367374914
#003,m1,No UV,15.10979854,0.367511995
#003,m1,No UV,15.11824196,0.368745716
#003,m1,No UV,15.12188548,0.369294037
#003,m1,No UV,15.13692239,0.3716244
#003,m1,No UV,15.16517648,0.375462646
#003,m1,No UV,15.17519241,0.377107608
#003,m1,No UV,15.18299442,0.377793009
#003,m1,No UV,15.18647822,0.37888965
#003,m1,No UV,15.18888516,0.379300891
#003,m1,No UV,15.19342069,0.379986292
#003,m1,No UV,15.19687943,0.380808773
#003,m1,No UV,15.20641444,0.383139136
#003,m1,No UV,15.22086121,0.384921179
#003,m1,No UV,15.22477626,0.38601782
#003,m1,No UV,15.22738041,0.386429061
#003,m1,No UV,15.25137642,0.390404387
#003,m1,No UV,15.25342207,0.390678547
#003,m1,No UV,15.25469914,0.391089788
#003,m1,No UV,15.26106754,0.39273475
#003,m1,No UV,15.26411441,0.393283071
#003,m1,No UV,15.26664857,0.393420151
#003,m1,No UV,15.27774628,0.395476354
#003,m1,No UV,15.27875094,0.395613434
#003,m1,No UV,15.28476427,0.396161755
#003,m1,No UV,15.2882605,0.396435915
#003,m1,No UV,15.30166716,0.399177519
#003,m1,No UV,15.30462957,0.4
#003,m1,No UV,15.3097992,0.400822481
#003,m1,No UV,15.32738433,0.404934887
#003,m1,No UV,15.3442779,0.409047293
#003,m1,No UV,15.35574879,0.410555175
#003,m1,No UV,15.35931482,0.411514736
#003,m1,No UV,15.3697246,0.413570939
#003,m1,No UV,15.38333282,0.415352981
#003,m1,No UV,15.38403321,0.415627142
#003,m1,No UV,15.40994089,0.418917066
#003,m1,No UV,15.41497568,0.420287868
#003,m1,No UV,15.41839845,0.42111035
#003,m1,No UV,15.44995866,0.426593557
#003,m1,No UV,15.45374438,0.427416038
#003,m1,No UV,15.45596665,0.427690199
#003,m1,No UV,15.457742,0.428101439
#003,m1,No UV,15.47054838,0.429746402
#003,m1,No UV,15.47537639,0.430705963
#003,m1,No UV,15.48824502,0.432899246
#003,m1,No UV,15.50336548,0.43564085
#003,m1,No UV,15.50722812,0.436326251
#003,m1,No UV,15.50872747,0.436600411
#003,m1,No UV,15.53250753,0.440712817
#003,m1,No UV,15.53313914,0.440849897
#003,m1,No UV,15.53377047,0.441124058
#003,m1,No UV,15.55693757,0.445784784
#003,m1,No UV,15.55693757,0.445784784
#003,m1,No UV,15.56540157,0.447978067
#003,m1,No UV,15.58421515,0.452638794
#003,m1,No UV,15.58523063,0.452775874
#003,m1,No UV,15.65362701,0.462508568
#003,m1,No UV,15.6600025,0.463742289
#003,m1,No UV,15.66442943,0.464976011
#003,m1,No UV,15.66596605,0.465387252
#003,m1,No UV,15.66865121,0.466072653
#003,m1,No UV,15.68371019,0.468540096
#003,m1,No UV,15.70180065,0.472104181
#003,m1,No UV,15.70572788,0.472515422
#003,m1,No UV,15.71744583,0.474571624
#003,m1,No UV,15.73273989,0.477313228
#003,m1,No UV,15.73731494,0.477724469
