mouse_id,month,treatment,volume,density
#003,m1,UV,15.01651976,0.305499529
#003,m1,UV,15.02012875,0.305902918
#003,m1,UV,15.02342909,0.306440769
#003,m1,UV,15.02761862,0.307113083
#003,m1,UV,15.03774284,0.308995563
#003,m1,UV,15.03892927,0.309398951
#003,m1,UV,15.04573235,0.310071265
#003,m1,UV,15.04691223,0.310474654
#003,m1,UV,15.05279719,0.311281431
#003,m1,UV,15.0571952,0.313432836
#003,m1,UV,15.06011978,0.313970687
#003,m1,UV,15.07523276,0.316122092
#003,m1,UV,15.14438248,0.327148044
#003,m1,UV,15.23257463,0.341535565
#003,m1,UV,15.23568222,0.341938954
#003,m1,UV,15.2400732,0.342880194
#003,m1,UV,15.24470796,0.343686971
#003,m1,UV,15.25137642,0.344359285
#003,m1,UV,15.25393303,0.344897136
#003,m1,UV,15.25444381,0.345031599
#003,m1,UV,15.27044148,0.34651069
#003,m1,UV,15.29174828,0.348931021
#003,m1,UV,15.30314912,0.3508135
#003,m1,UV,15.30438294,0.351216889
#003,m1,UV,15.3183743,0.352964905
#003,m1,UV,15.33754419,0.356192013
#003,m1,UV,15.37090279,0.360494823
#003,m1,UV,15.37584071,0.362646228
#003,m1,UV,15.39565666,0.366142262
#003,m1,UV,15.4023556,0.368024741
#003,m1,UV,15.40258605,0.368293667
#003,m1,UV,15.41634576,0.370579535
#003,m1,UV,15.41930981,0.371117386
#003,m1,UV,15.42997548,0.37273094
#003,m1,UV,15.44258142,0.375420196
#003,m1,UV,15.45352197,0.376630362
#003,m1,UV,15.48650683,0.382681189
#003,m1,UV,15.49755206,0.384967057
#003,m1,UV,15.49776779,0.385101519
#003,m1,UV,15.5249066,0.389538793
#003,m1,UV,15.53944004,0.392362512
#003,m1,UV,15.57831122,0.397606562
#003,m1,UV,15.62270534,0.403657389
#003,m1,UV,15.65942408,0.409708216
#003,m1,UV,15.67781969,0.411859621
#003,m1,UV,15.68541584,0.412800861
#003,m1,UV,15.69955171,0.41562458
#003,m1,UV,15.70740771,0.41656582
#003,m1,UV,15.71317887,0.417238134
#003,m1,UV,15.75853542,0.424364663
#003,m1,UV,15.76571928,0.425305903
#003,m1,UV,15.76715177,0.425574829
#003,m1,UV,15.76894038,0.425709291
#003,m1,UV,15.77536109,0.426381605
#003,m1,UV,15.78688215,0.427995159
#003,m1,UV,15.78970405,0.428264085
#003,m1,UV,15.80023728,0.430281027
#003,m1,UV,15.80285861,0.430953341
#003,m1,UV,15.82038601,0.433239209
#003,m1,UV,15.82142057,0.433508135
#003,m1,UV,15.83855492,0.435525077
#003,m1,UV,15.848062,0.437676482
#003,m1,UV,15.90105509,0.444803012
#003,m1,UV,15.91646778,0.446819954
#003,m1,UV,15.92547661,0.448299045
#003,m1,UV,15.93027972,0.449105822
#003,m1,UV,15.9477556,0.451257227
#003,m1,UV,15.95295734,0.45233293
#003,m1,UV,15.95970736,0.453005244
#003,m1,UV,15.98162213,0.456366815
#003,m1,UV,16.00077561,0.459459459
#003,m1,UV,16.00199281,0.459728385
#003,m1,UV,16.00624497,0.460400699
#003,m1,UV,16.01516406,0.461745327
#003,m1,UV,16.03268961,0.465510286
#003,m1,UV,16.07696642,0.472636816
#003,m1,UV,16.08201107,0.473981444
#003,m1,UV,16.08330542,0.474384833
#003,m1,UV,16.08689475,0.475057147
#003,m1,UV,16.10215698,0.477880866
#003,m1,UV,16.1042837,0.478149792
#003,m1,UV,16.12034511,0.480570122
#003,m1,UV,16.12858791,0.482183676
#003,m1,UV,16.13553665,0.483124916
#003,m1,UV,16.1388602,0.483662767
#003,m1,UV,16.14134784,0.483931693
#003,m1,UV,16.17600147,0.488772354
#003,m1,UV,16.18674586,0.490654834
#003,m1,UV,16.20957883,0.494688719
#003,m1,UV,16.25674008,0.501546322
#003,m1,UV,16.29993627,0.506924835
#003,m1,UV,16.30697051,0.507866075
#003,m1,UV,16.31335793,0.509345166
#003,m1,UV,16.31568476,0.510151943
#003,m1,UV,16.33138424,0.512975662
#003,m1,UV,16.3316263,0.513110125
#003,m1,UV,16.33271508,0.513513514
#003,m1,UV,16.33706201,0.51432029
#003,m1,UV,16.34787236,0.516337233
#003,m1,UV,16.35277035,0.517009547
#003,m1,UV,16.35467726,0.517412935
#003,m1,UV,16.37666206,0.520640043
#003,m1,UV,16.38449995,0.521984671
#003,m1,UV,16.39287556,0.523194837
#003,m1,UV,16.39981829,0.524539465
#003,m1,UV,16.40431321,0.52480839
#003,m1,UV,16.42181311,0.526959796
#003,m1,UV,16.43358843,0.528035498
#003,m1,UV,16.43831674,0.528842275
#003,m1,UV,16.50551267,0.539195912
#003,m1,UV,16.5230001,0.542019632
#003,m1,UV,16.52681059,0.542960871
#003,m1,UV,16.55755857,0.548070459
#003,m1,UV,16.5622076,0.549011698
#003,m1,UV,16.56488689,0.549146161
#003,m1,UV,16.56540157,0.549415087
#003,m1,UV,16.56612181,0.549818475
#003,m1,UV,16.57412313,0.551700955
#003,m1,UV,16.59413619,0.555196988
#003,m1,UV,16.59917178,0.556272691
#003,m1,UV,16.60258597,0.556810542
#003,m1,UV,16.60769215,0.558020707
#003,m1,UV,16.64566649,0.566088477
#003,m1,UV,16.658556,0.567433105
#003,m1,UV,16.68019779,0.571735915
#003,m1,UV,16.68929342,0.573752857
#003,m1,UV,16.69880128,0.57482856
#003,m1,UV,16.70170701,0.575231948
#003,m1,UV,16.7182792,0.578055668
#003,m1,UV,16.73338127,0.579803684
#003,m1,UV,16.7852924,0.587468065
#003,m1,UV,16.78732344,0.587736991
#003,m1,UV,16.80556233,0.59056071
#003,m1,UV,16.82245439,0.592712115
#003,m1,UV,16.83394866,0.594056743
#003,m1,UV,16.86069735,0.597149388
#003,m1,UV,16.87704251,0.599704182
#003,m1,UV,16.87845151,0.599973107
#003,m1,UV,16.88794704,0.601183273
#003,m1,UV,16.88975647,0.601855587
#003,m1,UV,16.89885144,0.603200215
#003,m1,UV,16.91428756,0.605889472
#003,m1,UV,16.95962905,0.613957241
#003,m1,UV,16.96392965,0.614764018
#003,m1,UV,16.97892024,0.616512034
#003,m1,UV,16.98262441,0.617318811
#003,m1,UV,16.99589648,0.618797902
#003,m1,UV,17.00047114,0.619470216
#003,m1,UV,17.00495546,0.619739142
#003,m1,UV,17.01877644,0.62202501
#003,m1,UV,17.02072938,0.622428399
#003,m1,UV,17.02170486,0.622831787
#003,m1,UV,17.02761862,0.623235175
#003,m1,UV,17.08495762,0.63157187
